"Geographic","Habitat","Type_interaction","Metabolic_consumer","Metabolic_resource","K_consumer","P_consumer","C_consumer","O_consumer","K_resource","P_resource","C_resource","O_resource","Mass_consumer","Mass_resource"
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1e-08,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1.5e-08,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1.5e-08,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1.5e-08,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1.5e-08,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1.5e-08,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",2e-08,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Ploima",2e-08,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",2e-08,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",2e-08,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",2e-08,2.72e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Protozoa","Euglenophycota","Euglenophyceae","Euglenales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,1.75e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Trebouxiophyceae","Oocystales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,2.37e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,2.39e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Flosculariaceae",3.5e-08,2.72e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,3.03e-11
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,2.03e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,2.39e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,2.72e-10
"Antarctica: Eastern Weddell Sea","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",7e-08,1.31e-09
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Chrysophyta","Chrysophyceae","Chromalinales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,3.03e-11
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,1.53e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Chromista","Cryptophycophyta","Cryptophyceae","Cryptomonadales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,2.03e-10
"Country: Switzerland; Lake Neuch�tel","freshwater","herbivorous","invertebrate","photo-autotroph","Monera","Cyanophycota","Cyanophyceae","Chroococcales","Animalia","Rotifera","Eurotatoria","Ploima",1e-07,2.39e-10
