Geographic	Habitat	Habitat_sub	Type_interaction	Taxonomy_consumer	Taxonomy_resource	Metabolic_consumer	Metabolic_resource	Mass_consumer	Mass_resource
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Chromulina sp.	invertebrate	photo-autotroph	0.00000001	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Chromulina sp.	invertebrate	photo-autotroph	0.00000001	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Chromulina sp.	invertebrate	photo-autotroph	0.00000001	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000001	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000001	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000001	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000001	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000001	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000001	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000001	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000001	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000001	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000001	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000001	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Selenastrum minutum	invertebrate	photo-autotroph	0.00000001	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella cochlearis	Unclassified flagellates	invertebrate	photo-autotroph	0.00000001	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Keratella testudo	Unclassified flagellates	invertebrate	photo-autotroph	0.00000001	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella cochlearis	Chroococcus limneticus	invertebrate	photo-autotroph	0.00000001	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Chromulina sp.	invertebrate	photo-autotroph	0.000000015	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Unclassified microflagellates	invertebrate	photo-autotroph	0.000000015	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000015	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000015	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Selenastrum minutum	invertebrate	photo-autotroph	0.000000015	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Keratella testudo	Chroococcus limneticus	invertebrate	photo-autotroph	0.000000015	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Chromulina sp.	invertebrate	photo-autotroph	0.00000002	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Chromulina sp.	invertebrate	photo-autotroph	0.00000002	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Unclassified microflagellates	invertebrate	photo-autotroph	0.00000002	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Trachelomonas sp.	invertebrate	photo-autotroph	0.00000002	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000002	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.00000002	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000002	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Chroococcus dispersus	invertebrate	photo-autotroph	0.00000002	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Selenastrum minutum	invertebrate	photo-autotroph	0.00000002	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Selenastrum minutum	invertebrate	photo-autotroph	0.00000002	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Kellicottia sp.	Unclassified flagellates	invertebrate	photo-autotroph	0.00000002	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia bostoniensis	Chroococcus limneticus	invertebrate	photo-autotroph	0.00000002	1.31E-009
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Chromulina sp.	invertebrate	photo-autotroph	0.000000035	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Trachelomonas sp.	invertebrate	photo-autotroph	0.000000035	1.75E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000035	2.03E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Closteriopsis longissimus	invertebrate	photo-autotroph	0.000000035	2.37E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Chroococcus dispersus	invertebrate	photo-autotroph	0.000000035	2.39E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Selenastrum minutum	invertebrate	photo-autotroph	0.000000035	2.72E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1984	herbivorous	Conochilus (solitary)	Unclassified flagellates	invertebrate	photo-autotroph	0.000000035	3.46E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Chromulina sp.	invertebrate	photo-autotroph	0.000000045	3.03E-011
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Unclassified microflagellates	invertebrate	photo-autotroph	0.000000045	1.02E-010
Country: Switzerland; Lake Neuch�tel	freshwater	small, mildly acidic lake, 1986	herbivorous	Kelicottia longispina	Cryptomonas sp. 1	invertebrate	photo-autotroph	0.000000045	2.03E-010
