prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
0,6.451,0,5.432,0.1,2,1,1,50,1.512
3.789,6.037,2.599,5.595,,,,,,
5.277,5.654,5.203,7.602,,,,,,
6.542,5.432,7.509,7.971,,,,,,
7.584,5.078,13.462,7.395,,,,,,
8.551,5.299,19.414,6.2,,,,,,
9.295,5.358,23.432,6.023,,,,,,
11.304,5.417,25.738,6.17,,,,,,
12.346,5.521,29.31,6.731,,,,,,
13.611,5.742,33.699,6.229,,,,,,
14.28,6.185,39.652,5.565,,,,,,
15.768,6.333,43.744,5.609,,,,,,
18.298,6.672,49.25,5.388,,,,,,
18.968,6.746,53.565,6.82,,,,,,
20.084,6.687,56.69,6.775,,,,,,
23.209,6.465,60.782,5.609,,,,,,
25.441,6.303,64.725,5.624,,,,,,
26.259,6.2,,,,,,,,
27.524,5.846,,,,,,,,
28.268,5.654,,,,,,,,
29.607,5.255,,,,,,,,
32.435,5.226,,,,,,,,
33.699,5.255,,,,,,,,
34.518,5.565,,,,,,,,
35.857,5.595,,,,,,,,
36.675,5.89,,,,,,,,
39.726,5.978,,,,,,,,
41.512,6.451,,,,,,,,
43.744,6.598,,,,,,,,
46.348,6.643,,,,,,,,
48.431,6.495,,,,,,,,
53.565,6.274,,,,,,,,
55.871,6.126,,,,,,,,
57.955,5.786,,,,,,,,
61.005,6.155,,,,,,,,
62.419,6.406,,,,,,,,
63.609,6.495,,,,,,,,
