prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
0.779,3.52,0.779,5.905,-2,2,6,6,33,0.2
7.792,3.793,10.13,4.869,,,,,,
20.26,5.573,23.377,5.983,,,,,,
31.169,2.464,32.727,6.922,,,,,,
42.857,2.737,43.636,4.067,,,,,,
55.325,3.128,55.325,3.148,,,,,,
71.688,4.888,70.13,5.201,,,,,,
96.623,2.483,79.481,6.277,,,,,,
103.636,3.676,98.182,2.992,,,,,,
120,5.455,120,5.573,,,,,,
131.688,0.684,129.351,5.553,,,,,,
144.935,1.779,144.156,2.816,,,,,,
151.169,2.718,169.87,6.648,,,,,,
169.87,5.025,175.325,6.453,,,,,,
193.247,2.131,194.805,0.743,,,,,,
202.597,2.835,204.156,2.307,,,,,,
218.182,5.338,217.403,4.341,,,,,,
226.753,4.849,254.805,2.503,,,,,,
247.792,5.69,269.61,1.936,,,,,,
255.584,5.573,293.766,1.564,,,,,,
269.61,5.592,305.455,1.017,,,,,,
292.987,5.651,319.481,1.33,,,,,,
306.234,5.436,326.493,2.034,,,,,,
317.143,5.416,341.299,3.128,,,,,,
328.831,5.416,345.974,4.791,,,,,,
342.857,5.514,367.792,4.419,,,,,,
349.091,5.416,373.247,3.617,,,,,,
367.013,5.592,393.507,1.271,,,,,,
372.468,5.377,427.013,2.777,,,,,,
394.286,5.612,495.584,5.358,,,,,,
427.013,5.573,517.403,5.592,,,,,,
496.364,5.475,539.221,2.425,,,,,,
514.286,5.573,562.597,1.115,,,,,,
520.519,5.436,588.312,3.891,,,,,,
539.221,5.69,,,,,,,,
565.714,5.69,,,,,,,,
589.87,5.67,,,,,,,,
