prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
2.3305,2.104,0,0.00E+00,0.05,2,2,4,33,0.0385
20.9746,2.104,23.3051,0,,,,,,
48.9407,2.0925,44.2797,0,,,,,,
74.5763,2.1387,74.5763,0.037,,,,,,
123.5169,1.7919,121.1864,0.321,,,,,,
146.822,1.1908,146.822,0.7901,,,,,,
156.1441,0.6705,153.8136,1.2593,,,,,,
167.7966,0.2081,165.4661,1.7531,,,,,,
181.7797,0.0347,179.4492,1.963,,,,,,
195.7627,0.0116,188.7712,1.642,,,,,,
207.4153,0.0116,207.4153,1.2593,,,,,,
219.0678,0.0116,216.7373,0.9136,,,,,,
235.3814,0.0231,235.3814,0.5679,,,,,,
263.3475,0.1503,268.0085,0.284,,,,,,
277.3305,0.3006,279.661,0.1975,,,,,,
305.2966,1.6532,288.9831,0.1852,,,,,,
312.2881,2.0231,305.2966,0.1605,,,,,,
326.2712,1.7803,316.9492,0.2222,,,,,,
340.2542,1.7225,328.6017,0.2963,,,,,,
354.2373,1.3988,335.5932,0.321,,,,,,
361.2288,1.3295,349.5763,0.3827,,,,,,
375.2119,1.3064,361.2288,0.3951,,,,,,
382.2034,1.1329,368.2203,0.5062,,,,,,
386.8644,0.9942,377.5424,0.5432,,,,,,
396.1864,0.8092,384.5339,0.6296,,,,,,
405.5085,0.7514,396.1864,0.7407,,,,,,
410.1695,0.578,400.8475,0.8272,,,,,,
424.1525,0.2775,405.5085,1.0494,,,,,,
428.8136,0.1156,419.4915,1.0988,,,,,,
435.8051,0.0462,426.4831,1.358,,,,,,
449.7881,0.0116,440.4661,1.1852,,,,,,
461.4407,0.0347,449.7881,0.9506,,,,,,
470.7627,0.0578,454.4492,0.7778,,,,,,
477.7542,0.2197,459.1102,0.7284,,,,,,
482.4153,0.1965,463.7712,0.642,,,,,,
494.0678,0.4162,470.7627,0.4938,,,,,,
496.3983,0.5896,475.4237,0.5309,,,,,,
503.3898,0.7861,477.7542,0.4198,,,,,,
508.0508,0.9711,489.4068,0.321,,,,,,
517.3729,1.1098,498.7288,0.358,,,,,,
531.3559,1.2254,508.0508,0.3827,,,,,,
540.678,0.9827,515.0424,0.3704,,,,,,
552.3305,0.9595,519.7034,0.3704,,,,,,
559.322,0.8786,524.3644,0.4321,,,,,,
568.6441,0.6705,543.0085,0.5679,,,,,,
580.2966,0.4624,545.339,0.5062,,,,,,
589.6186,0.2775,554.661,0.716,,,,,,
596.6102,0.1387,563.9831,0.8025,,,,,,
603.6017,0.0578,575.6356,1.0123,,,,,,
612.9237,0.0347,587.2881,0.9506,,,,,,
631.5678,0.0347,591.9492,1.1358,,,,,,
643.2203,0.0694,601.2712,1.1728,,,,,,
657.2034,0.1618,612.9237,0.9259,,,,,,
673.5169,0.3699,617.5847,0.8272,,,,,,
687.5,0.7861,631.5678,0.6296,,,,,,
694.4915,0.9133,645.5508,0.4568,,,,,,
699.1525,0.8902,654.8729,0.4321,,,,,,
710.8051,0.5202,666.5254,0.358,,,,,,
720.1271,0.763,678.178,0.3951,,,,,,
727.1186,0.6012,685.1695,0.3951,,,,,,
743.4322,0.3468,692.161,0.4568,,,,,,
752.7542,0.3006,701.4831,0.3827,,,,,,
766.7373,0.1965,713.1356,0.4815,,,,,,
771.3983,0.1734,720.1271,0.5802,,,,,,
780.7203,0.0809,729.4492,0.6049,,,,,,
797.0339,0.0809,741.1017,0.7284,,,,,,
801.6949,0.1272,752.7542,0.9383,,,,,,
820.339,0.2543,764.4068,1.1481,,,,,,
831.9915,0.289,769.0678,1.0864,,,,,,
857.6271,0.1503,783.0508,1.1728,,,,,,
887.9237,0.185,790.0424,1.0864,,,,,,
908.8983,0.0925,801.6949,1,,,,,,
927.5424,0.104,818.0085,0.8272,,,,,,
955.5085,0.0809,831.9915,0.7654,,,,,,
988.1356,0.1156,855.2966,0.7037,,,,,,
1060.3814,0.0925,887.9237,0.8025,,,,,,
1086.0169,0.104,906.5678,0.8519,,,,,,
1100,0.1272,929.8729,1.0123,,,,,,
,,955.5085,0.8642,,,,,,
,,985.8051,0.9383,,,,,,
,,1058.0508,1.037,,,,,,
,,1081.3559,1.1235,,,,,,
,,1100,1.0988,,,,,,
