prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
731.669,0.31,725.271,4.46E-01,-1,2,5,3,50,0.0715
736.868,0.278,733.669,0.49,,,,,,
746.466,0.451,734.869,0.533,,,,,,
751.665,0.589,739.268,0.456,,,,,,
758.464,0.712,741.667,0.332,,,,,,
764.463,0.761,744.067,0.271,,,,,,
775.661,0.359,750.466,0.209,,,,,,
778.46,0.336,754.065,0.242,,,,,,
785.259,0.381,759.664,0.315,,,,,,
787.658,0.412,764.463,0.406,,,,,,
799.256,0.371,772.461,0.563,,,,,,
804.855,0.533,774.461,0.549,,,,,,
806.054,0.566,778.46,0.609,,,,,,
810.853,0.599,782.459,0.625,,,,,,
817.252,0.579,787.658,0.581,,,,,,
817.652,0.381,789.258,0.541,,,,,,
823.251,0.356,791.257,0.386,,,,,,
827.65,0.595,795.257,0.493,,,,,,
832.449,0.547,798.856,0.44,,,,,,
835.248,0.641,804.455,0.482,,,,,,
840.447,0.567,806.854,0.483,,,,,,
844.047,0.653,812.053,0.458,,,,,,
848.446,0.62,816.052,0.466,,,,,,
852.045,0.632,818.052,0.49,,,,,,
855.244,0.637,822.051,0.504,,,,,,
868.042,0.527,827.65,0.485,,,,,,
876.84,0.524,831.249,0.532,,,,,,
877.24,0.543,836.848,0.51,,,,,,
883.638,0.409,838.848,0.482,,,,,,
886.838,0.46,843.647,0.501,,,,,,
894.436,0.446,846.046,0.518,,,,,,
898.036,0.464,851.245,0.571,,,,,,
902.835,0.452,852.445,0.587,,,,,,
907.234,0.5,859.643,0.587,,,,,,
912.433,0.362,862.843,0.547,,,,,,
914.432,0.343,866.442,0.608,,,,,,
920.031,0.329,870.041,0.632,,,,,,
925.63,0.408,874.04,0.676,,,,,,
932.029,0.343,880.039,0.643,,,,,,
940.827,0.321,882.439,0.628,,,,,,
946.426,0.433,886.838,0.609,,,,,,
952.424,0.371,890.437,0.605,,,,,,
955.624,0.494,893.236,0.617,,,,,,
958.823,0.374,897.636,0.635,,,,,,
961.622,0.358,902.035,0.678,,,,,,
966.422,0.354,906.034,0.694,,,,,,
971.62,0.431,910.033,0.617,,,,,,
974.42,0.297,915.232,0.637,,,,,,
979.619,0.365,919.631,0.628,,,,,,
984.018,0.355,922.83,0.644,,,,,,
986.417,0.343,926.43,0.618,,,,,,
992.016,0.308,930.829,0.633,,,,,,
994.816,0.271,934.428,0.62,,,,,,
999.615,0.347,939.627,0.653,,,,,,
1004.414,0.288,941.627,0.66,,,,,,
1006.413,0.316,946.026,0.668,,,,,,
1010.413,0.315,946.826,0.682,,,,,,
1015.611,0.259,949.225,0.682,,,,,,
1018.411,0.302,954.024,0.671,,,,,,
1022.41,0.202,959.223,0.659,,,,,,
1027.209,0.297,964.422,0.671,,,,,,
1032.408,0.228,966.821,0.664,,,,,,
1044.006,0.261,971.62,0.672,,,,,,
1048.005,0.297,974.02,0.672,,,,,,
1058.803,0.231,977.219,0.689,,,,,,
1058.403,0.282,984.018,0.645,,,,,,
1062.402,0.356,985.218,0.683,,,,,,
1072.4,0.446,990.017,0.678,,,,,,
1077.999,0.447,993.616,0.689,,,,,,
1081.998,0.42,997.615,0.685,,,,,,
1087.597,0.356,1005.214,0.698,,,,,,
1087.197,0.355,1009.213,0.68,,,,,,
1092.796,0.394,1013.212,0.678,,,,,,
1096.395,0.413,1020.011,0.699,,,,,,
1099.194,0.427,1022.81,0.682,,,,,,
1102.794,0.379,1029.609,0.689,,,,,,
1108.392,0.378,1034.408,0.679,,,,,,
1113.192,0.327,1039.207,0.69,,,,,,
1116.391,0.435,1040.806,0.683,,,,,,
1119.19,0.435,1043.606,0.697,,,,,,
1124.789,0.392,1048.005,0.694,,,,,,
1128.388,0.419,1054.004,0.712,,,,,,
1131.988,0.419,1056.803,0.666,,,,,,
1135.587,0.432,1059.603,0.648,,,,,,
1139.986,0.42,1064.002,0.648,,,,,,
1144.785,0.382,1066.401,0.621,,,,,,
1146.785,0.402,1072.4,0.598,,,,,,
1151.984,0.413,1077.599,0.61,,,,,,
,,1084.797,0.616,,,,,,
,,1086.397,0.624,,,,,,
,,1089.996,0.624,,,,,,
,,1091.596,0.624,,,,,,
,,1095.595,0.632,,,,,,
,,1099.994,0.643,,,,,,
,,1104.393,0.641,,,,,,
,,1105.193,0.641,,,,,,
,,1109.192,0.64,,,,,,
,,1111.992,0.664,,,,,,
,,1114.791,0.653,,,,,,
,,1120.39,0.663,,,,,,
,,1125.989,0.664,,,,,,
,,1128.788,0.649,,,,,,
,,1131.188,0.649,,,,,,
,,1133.587,0.67,,,,,,
,,1141.586,0.652,,,,,,
,,1145.185,0.652,,,,,,
,,1147.584,0.666,,,,,,
,,1151.583,0.663,,,,,,
