prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
-0.035399,8.147189,-0.018457,7.304571,0.01,2,4,4,33,0.036
0.19249,8.431869,0.201826,7.218675,,,,,,
0.526951,8.457856,0.496905,8.285211,,,,,,
0.85208,4.260431,0.848181,8.84423,,,,,,
1.779229,7.449963,1.14374,8.489432,,,,,,
2.009579,7.414848,1.354971,8.220776,,,,,,
2.221513,7.054822,1.790674,5.962658,,,,,,
2.763846,7.2487,2.023435,6.973244,,,,,,
2.983659,7.223718,2.259712,7.526977,,,,,,
3.243547,7.427237,2.724826,6.883144,,,,,,
3.796885,7.550069,3.228657,5.285055,,,,,,
4.184066,7.520314,3.833504,5.509504,,,,,,
4.729446,7.318255,4.228643,5.80464,,,,,,
4.938294,7.359243,4.700493,7.003478,,,,,,
5.159709,7.126139,4.92101,6.887125,,,,,,
5.631296,7.000089,5.136879,7.374831,,,,,,
5.944373,7.086952,5.63696,6.264051,,,,,,
6.183697,7.244748,5.946649,5.432116,,,,,,
6.663945,7.352219,6.201264,6.320912,,,,,,
6.988261,7.337578,6.686278,5.809095,,,,,,
7.638807,7.059567,7.038179,6.286896,,,,,,
7.890737,6.938195,7.683451,6.694162,,,,,,
8.178299,6.263582,7.722159,7.100327,,,,,,
8.677784,6.589364,7.899554,7.151411,,,,,,
8.680362,6.25434,8.189371,7.542804,,,,,,
8.858226,6.24451,8.684765,7.041158,,,,,,
9.213174,6.326372,8.882257,7.198878,,,,,,
9.681988,6.560727,9.205948,7.265456,,,,,,
9.976024,6.403898,10.021166,7.332924,,,,,,
10.663675,6.740174,10.732038,7.369746,,,,,,
11.23539,7.192992,11.236483,7.05086,,,,,,
11.737961,7.11776,11.743937,6.341113,,,,,,
12.168732,6.859655,12.226256,6.179549,,,,,,
12.682542,6.68292,12.678802,5.809807,,,,,,
13.15284,6.724382,13.174704,5.242172,,,,,,
13.69529,6.903032,13.67915,4.923286,,,,,,
13.966808,6.954286,,,,,,,,
