prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1.19,4.6,0.64,1.75,-2,2,2,2,50,0
2.1,8.41,1.03,1.11,,,,,,
3.02,15.4,2.1,0.48,,,,,,
4,26.19,3.18,1.43,,,,,,
5.07,56.35,4.03,5.24,,,,,,
5.98,27.78,5.01,6.19,,,,,,
7.09,10,6.15,32.22,,,,,,
8.07,3.97,7.03,29.05,,,,,,
9.05,2.06,8.01,16.67,,,,,,
10.03,1.75,8.98,13.49,,,,,,
11.1,6.19,10.09,5.24,,,,,,
12.08,16.03,11.04,1.43,,,,,,
13.06,28.41,11.95,1.75,,,,,,
14.01,18.89,13,3.97,,,,,,
15.08,1.43,14.07,29.05,,,,,,
16.13,1.43,15.08,39.21,,,,,,
17.14,1.43,15.96,19.84,,,,,,
,,17.1,10,,,,,,
