prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1.909,151.223,4.771,1.38E+02,-1,0.9,1,2,33,0
6.998,250.965,7.475,138.353,,,,,,
14.632,929.858,14.632,360.36,,,,,,
21.312,1467.181,21.63,1496.139,,,,,,
27.356,878.378,27.356,1911.197,,,,,,
36.421,344.273,36.262,904.118,,,,,,
38.807,305.663,38.648,859.073,,,,,,
46.123,228.443,46.123,466.538,,,,,,
53.757,270.27,52.485,366.795,,,,,,
59.324,276.705,59.324,324.968,,,,,,
66.799,392.535,66.799,112.613,,,,,,
73.479,508.365,73.479,112.613,,,,,,
81.113,604.891,80.477,331.403,,,,,,
86.68,1624.839,87.793,324.968,,,,,,
93.201,1772.844,93.837,1000.643,,,,,,
100.517,2101.03,100.835,945.946,,,,,,
106.083,1830.759,106.561,1444.659,,,,,,
110.696,1583.012,111.014,1142.214,,,,,,
118.012,768.983,117.853,1920.849,,,,,,
125.169,527.67,125.01,505.148,,,,,,
132.008,714.286,132.008,260.618,,,,,,
139.324,814.028,138.688,788.288,,,,,,
145.368,785.071,145.05,122.265,,,,,,
152.525,1190.476,152.684,74.003,,,,,,
159.364,2017.375,159.364,128.7,,,,,,
166.044,1817.889,166.362,90.09,,,,,,
173.837,1747.104,174.314,254.183,,,,,,
180.04,1879.022,180.199,765.766,,,,,,
187.038,1502.574,187.038,1496.139,,,,,,
194.195,543.758,193.241,2409.91,,,,,,
200.557,131.918,200.875,624.196,,,,,,
208.35,96.525,207.714,77.22,,,,,,
229.662,96.525,236.819,67.568,,,,,,
236.66,209.138,,,,,,,,
