prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1,0.41,1,4.71E+00,0.25,2,1,1,33,0
2,0.21,2,5.49,,,,,,
3,0.04,3,2.91,,,,,,
4,0.04,4,0.56,,,,,,
5,0.04,5,0.39,,,,,,
6,0.04,6,0.13,,,,,,
7,0.04,7,0.13,,,,,,
8,0.04,8,0.13,,,,,,
9,0.04,9,0.13,,,,,,
10,0.04,10,0.13,,,,,,
11,0.04,11,0.13,,,,,,
12,0.04,12,0.13,,,,,,
13,0.04,13,0.04,,,,,,
14,0.04,14,0.13,,,,,,
15,0.08,15,0.13,,,,,,
16,0.12,16,0.13,,,,,,
17,0.33,17,0.09,,,,,,
18,0.41,18,0.09,,,,,,
19,0.82,19,0.09,,,,,,
20,2.26,20,0.09,,,,,,
21,5.34,21,0.21,,,,,,
22,6.73,22,0.26,,,,,,
23,7.43,23,0.43,,,,,,
24,7.39,24,1.29,,,,,,
25,4.93,25,2.14,,,,,,
26,0.82,26,3.86,,,,,,
27,0.04,27,1.63,,,,,,
28,0.04,28,0.69,,,,,,
29,0.08,29,0.13,,,,,,
30,0.21,30,0.09,,,,,,
31,0.49,31,0.04,,,,,,
32,2.05,32,0.04,,,,,,
33,6.44,33,0.09,,,,,,
34,9.44,34,0.26,,,,,,
35,11.04,35,0.26,,,,,,
36,11.04,36,0.26,,,,,,
37,11.04,37,0.3,,,,,,
38,11.04,38,0.3,,,,,,
39,11.04,39,0.34,,,,,,
40,11.04,40,0.64,,,,,,
41,10.26,41,1.03,,,,,,
42,9.36,42,3.04,,,,,,
43,2.46,43,5.49,,,,,,
44,0.08,44,1.8,,,,,,
45,0.08,45,0.51,,,,,,
46,0.04,46,0.3,,,,,,
47,0.04,47,0.13,,,,,,
48,0.41,48,0.09,,,,,,
49,0.82,49,0.09,,,,,,
50,4.1,50,0.09,,,,,,
51,6.57,51,0.09,,,,,,
52,9.44,52,0.04,,,,,,
53,10.06,53,0.04,,,,,,
54,9.44,54,0.04,,,,,,
55,8.37,55,0.04,,,,,,
56,7.55,56,0.04,,,,,,
57,7.06,57,0.04,,,,,,
58,6.57,58,0.04,,,,,,
59,6.49,59,0.17,,,,,,
60,6.32,60,0.47,,,,,,
61,6.16,61,0.81,,,,,,
62,4.6,62,2.1,,,,,,
63,3.28,63,3,,,,,,
64,0.08,64,1.71,,,,,,
