prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
0.033,11.234,1.011,2.96E-05,0.3,2,4,2,33,0
0.881,27.753,6.035,43.612,,,,,,
3.947,66.74,7.177,28.414,,,,,,
6.003,48.899,9.036,21.806,,,,,,
8.808,153.965,10.733,72.687,,,,,,
9.787,160.573,11.842,72.687,,,,,,
10.668,148.018,12.886,49.56,,,,,,
11.711,124.89,16.05,13.877,,,,,,
12.853,76.652,17.877,49.56,,,,,,
13.864,71.366,19.9,6.608,,,,,,
14.941,87.225,21.074,9.912,,,,,,
15.757,140.749,22.02,39.648,,,,,,
16.801,127.533,22.934,87.886,,,,,,
17.942,35.022,23.945,23.789,,,,,,
18.856,35.683,25.837,2.643,,,,,,
20.878,208.811,,,,,,,,
21.824,187.665,,,,,,,,
22.836,63.436,,,,,,,,
23.88,82.599,,,,,,,,
24.826,124.229,,,,,,,,
25.87,224.009,,,,,,,,
