prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1,16.89,1,5.00E-02,0.42,2,4,4,33,3
2,14.11,2,0.16,,,,,,
3,16.14,3,0.16,,,,,,
4,13.89,4,0.26,,,,,,
5,10.69,5,0.94,,,,,,
6,6.73,6,1.05,,,,,,
7,9.4,7,0.26,,,,,,
8,11.76,8,0.52,,,,,,
9,13.89,9,0.58,,,,,,
10,15.07,10,0.58,,,,,,
11,12.61,11,0.68,,,,,,
12,1.28,12,0.84,,,,,,
13,10.05,13,1.57,,,,,,
14,12.82,14,3.19,,,,,,
15,14.64,15,2.62,,,,,,
16,5.13,16,1.05,,,,,,
17,5.24,17,0.68,,,,,,
18,4.38,18,1.47,,,,,,
19,2.14,19,1.52,,,,,,
20,0.53,20,2.62,,,,,,
21,2.14,21,3.66,,,,,,
22,5.13,22,0.05,,,,,,
23,9.08,23,0.1,,,,,,
24,13.89,24,0.52,,,,,,
25,11.76,25,1.31,,,,,,
26,7.48,26,2.62,,,,,,
27,0.21,27,6.17,,,,,,
28,0.32,28,1.52,,,,,,
29,0.85,29,0.26,,,,,,
30,1.28,30,0.05,,,,,,
31,9.62,31,0.1,,,,,,
32,14.96,32,0.94,,,,,,
33,8.55,33,2.09,,,,,,
34,2.14,34,6.91,,,,,,
35,1.07,35,5.23,,,,,,
36,0.85,36,2.09,,,,,,
37,14.64,37,0.05,,,,,,
38,15.6,38,0.1,,,,,,
39,15.82,39,0.21,,,,,,
40,14.96,40,0.31,,,,,,
41,15.28,41,0.42,,,,,,
42,14.85,42,0.52,,,,,,
43,14.11,43,0.58,,,,,,
44,13.04,44,0.94,,,,,,
45,12.61,45,1.05,,,,,,
46,10.9,46,1.62,,,,,,
47,9.19,47,3.45,,,,,,
48,5.56,48,6.8,,,,,,
49,0.11,49,5.76,,,,,,
50,3.21,50,3.09,,,,,,
51,9.4,51,0.05,,,,,,
52,12.82,52,0.1,,,,,,
