prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1,17.1,1,2.70E-01,0.2,2,3,5,33,1.5
2,15.28,2,0.21,,,,,,
3,16.03,3,0.21,,,,,,
4,16.03,4,0.21,,,,,,
5,14.64,5,0.05,,,,,,
6,13.89,6,0.05,,,,,,
7,13.57,7,0.11,,,,,,
8,14.11,8,0.11,,,,,,
9,14.96,9,0.16,,,,,,
10,14.85,10,0.27,,,,,,
11,12.93,11,0.53,,,,,,
12,12.93,12,1.6,,,,,,
13,3.1,13,4.79,,,,,,
14,0.85,14,1.38,,,,,,
15,1.18,15,0.59,,,,,,
16,3.21,16,0.11,,,,,,
17,9.83,17,1.07,,,,,,
18,3.21,18,5.33,,,,,,
19,0.21,19,3.2,,,,,,
20,0.11,20,0.59,,,,,,
21,0.21,21,0.11,,,,,,
22,1.39,22,0.05,,,,,,
23,6.2,23,0.05,,,,,,
24,10.69,24,0.48,,,,,,
25,7.48,25,3.14,,,,,,
26,0.32,26,5.91,,,,,,
27,0.21,27,1.01,,,,,,
28,1.07,28,0.16,,,,,,
29,4.27,29,0.05,,,,,,
30,12.5,30,0.05,,,,,,
31,12.61,31,0.16,,,,,,
32,12.72,32,0.75,,,,,,
33,12.82,33,1.01,,,,,,
34,10.26,34,2.66,,,,,,
35,6.63,35,3.78,,,,,,
36,7.48,36,2.66,,,,,,
37,8.55,37,2.08,,,,,,
38,10.69,38,1.44,,,,,,
39,12.08,39,1.07,,,,,,
40,11.97,40,1.07,,,,,,
41,10.69,41,1.12,,,,,,
42,8.55,42,1.33,,,,,,
43,5.34,43,2.08,,,,,,
44,6.63,44,2.13,,,,,,
45,7.69,45,2.18,,,,,,
46,8.55,46,2.24,,,,,,
47,8.76,47,2.61,,,,,,
48,8.76,48,2.82,,,,,,
49,8.66,49,3.62,,,,,,
50,8.12,50,3.36,,,,,,
