prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1,16.15,1,5.00E-02,0.12,2,6,6,33,0.75
2,14,2,0.16,,,,,,
3,13.89,3,0.33,,,,,,
4,12.82,4,0.6,,,,,,
5,13.14,5,0.16,,,,,,
6,16.15,6,0.27,,,,,,
7,12.17,7,0.27,,,,,,
8,12.92,8,0.44,,,,,,
9,11.63,9,1.58,,,,,,
10,3.23,10,7.09,,,,,,
11,0.86,11,4.36,,,,,,
12,0.22,12,2.18,,,,,,
13,2.15,13,0.65,,,,,,
14,6.03,14,1.64,,,,,,
15,0.86,15,4.8,,,,,,
16,0.11,16,4.31,,,,,,
17,0.22,17,1.64,,,,,,
18,2.15,18,0.65,,,,,,
19,10.98,19,0.6,,,,,,
20,2.8,20,5.4,,,,,,
21,0.54,21,4.91,,,,,,
22,2.15,22,2.35,,,,,,
23,7.54,23,1.75,,,,,,
24,9.58,24,1.25,,,,,,
25,6.78,25,1.09,,,,,,
26,7.65,26,0.93,,,,,,
27,11.85,27,0.71,,,,,,
28,11.95,28,0.55,,,,,,
29,12.17,29,0.49,,,,,,
30,12.92,30,0.27,,,,,,
31,12.6,31,0.27,,,,,,
32,13.25,32,0.49,,,,,,
33,13.25,33,0.65,,,,,,
34,10.77,34,1.64,,,,,,
35,7.97,35,2.62,,,,,,
36,6.46,36,3.22,,,,,,
37,3.66,37,3.6,,,,,,
38,5.28,38,3.38,,,,,,
39,7.54,39,2.78,,,,,,
40,8.62,40,1.85,,,,,,
41,8.94,41,1.31,,,,,,
42,9.37,42,0.98,,,,,,
43,9.69,43,0.65,,,,,,
44,10.66,44,0.71,,,,,,
45,11.09,45,0.65,,,,,,
46,11.95,46,0.55,,,,,,
47,12.71,47,0.33,,,,,,
48,13.89,48,0.22,,,,,,
49,14.86,49,0.11,,,,,,
50,15.08,50,0.11,,,,,,
