prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1,513,1,1.29E+02,0.1,2,3,4,33,0
2,201,2,125,,,,,,
3,290,3,352,,,,,,
4,112,4,647,,,,,,
5,49,5,468,,,,,,
6,143,6,178,,,,,,
7,558,7,214,,,,,,
8,366,8,272,,,,,,
9,107,9,620,,,,,,
10,13,10,575,,,,,,
11,22,11,317,,,,,,
12,40,12,161,,,,,,
13,401,13,138,,,,,,
14,393,14,210,,,,,,
15,228,15,357,,,,,,
16,192,16,486,,,,,,
17,36,17,593,,,,,,
18,18,18,277,,,,,,
19,214,19,112,,,,,,
20,531,20,125,,,,,,
21,410,21,183,,,,,,
22,459,22,219,,,,,,
23,94,23,839,,,,,,
24,54,24,638,,,,,,
25,49,25,321,,,,,,
26,168,26,261,,,,,,
27,131,27,307,,,,,,
28,556,28,265,,,,,,
29,434,29,358,,,,,,
30,168,30,653,,,,,,
