prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1,15.49,1,5.42E+00,0.3,2,3,6,33,0
2,20.86,2,7.12,,,,,,
3,92.11,3,23.46,,,,,,
4,63.62,4,41.65,,,,,,
5,47.93,5,60.74,,,,,,
6,61.53,6,55.13,,,,,,
7,64.15,7,50.42,,,,,,
8,88.73,8,42.04,,,,,,
9,134.4,9,45.58,,,,,,
10,118.7,10,81.15,,,,,,
11,76.45,11,68.2,,,,,,
12,35.14,12,41.55,,,,,,
13,46.9,13,26.77,,,,,,
14,79.73,14,19.31,,,,,,
15,142.8,15,15.53,,,,,,
16,237.8,16,24.54,,,,,,
17,321.9,17,28.08,,,,,,
18,384.9,18,37.11,,,,,,
19,420.5,19,44.29,,,,,,
20,453.3,20,52.41,,,,,,
21,448.6,21,64.18,,,,,,
22,420.1,22,91.5,,,,,,
23,302.8,23,108.8,,,,,,
24,126,24,100.4,,,,,,
25,115.8,25,70.98,,,,,,
26,126.7,26,53.47,,,,,,
27,165.9,27,43.28,,,,,,
28,231.7,28,45.89,,,,,,
29,322.2,29,52.17,,,,,,
30,339.5,30,74.01,,,,,,
31,291.7,31,80.3,,,,,,
32,221.1,32,83.82,,,,,,
33,162.4,33,80.05,,,,,,
34,153.1,34,45.13,,,,,,
35,171.3,35,41.33,,,,,,
36,238.9,36,41.21,,,,,,
37,281.8,37,53.9,,,,,,
38,294.5,38,65.66,,,,,,
39,248.6,39,79.26,,,,,,
40,200.9,40,88.28,,,,,,
41,176,41,85.41,,,,,,
42,180.5,42,61.49,,,,,,
43,192.3,43,47.63,,,,,,
44,260.8,44,53.91,,,,,,
45,320.2,45,58.37,,,,,,
46,329.2,46,70.14,,,,,,
47,293.4,47,81.92,,,,,,
48,255.7,48,76.29,,,,,,
49,181.4,49,76.15,,,,,,
50,170.3,50,53.16,,,,,,
51,189.4,51,44.77,,,,,,
52,243.3,52,49.22,,,,,,
