prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
0,61.21,0,3.45E+00,0.08,2,4,4,33,0
0.5,86.21,0.5,3.448,,,,,,
1,94.83,1,5.172,,,,,,
1.5,138.8,1.5,9.483,,,,,,
2,212.9,2,9.483,,,,,,
2.5,302.6,2.5,10.34,,,,,,
3,346.6,3,14.66,,,,,,
3.5,311.2,3.5,24.14,,,,,,
4,212.1,4,38.79,,,,,,
4.5,162.9,4.5,63.79,,,,,,
5,93.1,5,91.38,,,,,,
5.5,63.79,5.5,78.45,,,,,,
6,67.24,6,47.41,,,,,,
6.5,80.17,6.5,30.17,,,,,,
7,87.93,7,14.66,,,,,,
7.5,106,7.5,18.1,,,,,,
8,131,8,20.69,,,,,,
8.5,175.9,8.5,24.14,,,,,,
9,223.3,9,19.83,,,,,,
9.5,274.1,9.5,23.28,,,,,,
10,283.6,10,27.59,,,,,,
10.5,233.6,10.5,41.38,,,,,,
11,180.2,11,55.17,,,,,,
11.5,162.1,11.5,69.83,,,,,,
12,125,12,57.76,,,,,,
12.5,105.2,12.5,51.72,,,,,,
13,111.2,13,38.79,,,,,,
13.5,128.4,13.5,31.03,,,,,,
14,113.8,14,28.45,,,,,,
14.5,129.3,14.5,16.38,,,,,,
15,133.6,15,8.621,,,,,,
15.5,149.1,15.5,12.93,,,,,,
16,182.8,16,18.1,,,,,,
16.5,200,16.5,19.83,,,,,,
17,225,17,27.59,,,,,,
17.5,201.7,17.5,34.48,,,,,,
18,176.7,18,57.76,,,,,,
18.5,150.9,18.5,42.24,,,,,,
19,129.3,19,34.48,,,,,,
19.5,124.1,19.5,11.21,,,,,,
20,132.8,20,13.79,,,,,,
20.5,161.2,20.5,15.52,,,,,,
21,203.4,21,20.69,,,,,,
21.5,235.3,21.5,25,,,,,,
22,212.9,22,37.93,,,,,,
22.5,184.5,22.5,50.86,,,,,,
23,150.9,23,53.45,,,,,,
23.5,137.1,23.5,51.72,,,,,,
24,123.3,24,38.79,,,,,,
24.5,126.7,24.5,35.34,,,,,,
25,131.9,25,25.86,,,,,,
25.5,156,25.5,10.34,,,,,,
26,184.5,26,15.52,,,,,,
26.5,240.5,26.5,25,,,,,,
27,256,27,39.66,,,,,,
27.5,219.8,27.5,56.9,,,,,,
28,220.7,28,45.69,,,,,,
28.5,193.1,28.5,22.41,,,,,,
29,150,29,9.483,,,,,,
29.5,161.2,29.5,6.897,,,,,,
30,179,30,8.621,,,,,,
30.5,196.6,30.5,10.34,,,,,,
31,223.3,31,16.38,,,,,,
31.5,243.1,31.5,28.45,,,,,,
32,254.3,32,43.97,,,,,,
