prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
0,15.65,0,5.76E+00,-1,2,4,4,33,0
0.5,53.57,0.5,9.05,,,,,,
1,73.34,1,17.26,,,,,,
1.5,93.93,1.5,41.97,,,,,,
2,115.4,2,55.97,,,,,,
2.5,76.57,2.5,74.91,,,,,,
3,32.83,3,62.52,,,,,,
3.5,23.74,3.5,27.04,,,,,,
4,56.7,4,18.77,,,,,,
4.5,86.37,4.5,31.11,,,,,,
5,121,5,58.31,,,,,,
5.5,71.48,5.5,73.13,,,,,,
6,55.78,6,63.21,,,,,,
6.5,31.84,6.5,52.46,,,,,,
7,26.87,7,40.07,,,,,,
7.5,53.24,7.5,27.67,,,,,,
8,65.59,8,26,,,,,,
8.5,81.23,8.5,24.32,,,,,,
9,143.9,9,21,,,,,,
9.5,237.9,9.5,33.35,,,,,,
10,276.6,10,64.67,,,,,,
10.5,222.2,10.5,94.34,,,,,,
11,137.2,11,103.4,,,,,,
11.5,46.45,11.5,82.74,,,,,,
12,27.46,12,65.4,,,,,,
12.5,41.46,12.5,51.35,,,,,,
13,44.73,13,28.24,,,,,,
13.5,88.42,13.5,23.27,,,,,,
14,105.7,14,38.09,,,,,,
14.5,155.2,14.5,14.97,,,,,,
15,205.5,15,24.84,,,,,,
15.5,312.7,15.5,49.56,,,,,,
16,213.7,16,75.93,,,,,,
16.5,163.4,16.5,104,,,,,,
17,85.78,17,106.4,,,,,,
17.5,48.64,17.5,100.6,,,,,,
18,44.49,18,84.08,,,,,,
18.5,63.44,18.5,45.3,,,,,,
19,71.66,19,35.37,,,,,,
19.5,127.7,19.5,35.35,,,,,,
20,206.9,20,41.1,,,,,,
20.5,309.9,20.5,52.62,,,,,,
21,156.5,21,120.2,,,,,,
21.5,63.3,21.5,112.8,,,,,,
22,77.29,22,92.14,,,,,,
22.5,45.11,22.5,65.72,,,,,,
23,57.45,23,33.54,,,,,,
23.5,69.8,23.5,21.14,,,,,,
24,121.7,24,17.82,,,,,,
24.5,185.2,24.5,26.04,,,,,,
25,175.3,25,65.61,,,,,,
25.5,139,25.5,76.3,,,,,,
26,77.11,26,96.07,,,,,,
26.5,57.29,26.5,68.84,,,,,,
27,54.79,27,54.79,,,,,,
27.5,75.38,27.5,35.8,,,,,,
28,87.73,28,32.48,,,,,,
28.5,136.4,28.5,24.21,,,,,,
29,290.6,29,35.73,,,,,,
29.5,345.8,29.5,55.5,,,,,,
30,271.6,30,93.41,,,,,,
30.5,156.1,30.5,117.3,,,,,,
31,71.1,31,95.02,,,,,,
31.5,43.86,31.5,85.92,,,,,,
32,30.64,32,82.6,,,,,,
32.5,35.56,32.5,66.08,,,,,,
33,52.03,33,63.58,,,,,,
33.5,37.99,33.5,37.99,,,,,,
34,62.71,34,25.6,,,,,,
34.5,103.9,34.5,23.1,,,,,,
35,187.2,35,37.09,,,,,,
