prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
1,4.82,1,0.46,0.16,2,2,6,33,0.84
2,5.13,2,0,,,,,,
3,3.54,3,0,,,,,,
4,3.84,4,0.09,,,,,,
5,3.01,5,0.49,,,,,,
6,3.27,6,5.1,,,,,,
7,1.93,7,11.05,,,,,,
8,0.4,8,16.29,,,,,,
9,0.07,9,7.17,,,,,,
10,0.11,10,1.8,,,,,,
11,0.37,11,0.35,,,,,,
12,0.27,12,0.28,,,,,,
13,1.46,13,0.61,,,,,,
14,3.52,14,0.44,,,,,,
15,4.62,15,1.66,,,,,,
16,4.41,16,2.96,,,,,,
17,3.84,17,5.95,,,,,,
18,1.87,18,8.81,,,,,,
19,0.27,19,14.87,,,,,,
20,0.15,20,3.5,,,,,,
21,0.37,21,0.81,,,,,,
22,0.14,22,0.74,,,,,,
23,0.56,23,0.44,,,,,,
24,3.76,24,1.4,,,,,,
25,4.03,25,1.43,,,,,,
26,3.71,26,1.67,,,,,,
27,2.97,27,4.79,,,,,,
28,2.12,28,4.47,,,,,,
29,1.08,29,9.59,,,,,,
30,0.18,30,19.18,,,,,,
31,1.21,31,18.8,,,,,,
32,0.46,32,15.4,,,,,,
33,0.29,33,5.1,,,,,,
34,0.31,34,2.36,,,,,,
35,0.63,35,1.8,,,,,,
36,0.66,36,1.74,,,,,,
37,0.99,37,1.01,,,,,,
38,1.3,38,0.85,,,,,,
39,1.86,39,2.45,,,,,,
40,1.97,40,1.08,,,,,,
41,1.95,41,3.39,,,,,,
42,2.02,42,4.22,,,,,,
43,1.55,43,4.83,,,,,,
44,1.07,44,9.91,,,,,,
45,0.66,45,12.87,,,,,,
46,0.45,46,13.26,,,,,,
47,0.51,47,9.26,,,,,,
48,0.48,48,12.05,,,,,,
49,0.7,49,8.03,,,,,,
50,0.59,50,8.9,,,,,,
51,0.82,51,8.55,,,,,,
52,0.61,52,6.88,,,,,,
53,0.8,53,7.84,,,,,,
54,0.61,54,7.95,,,,,,
55,0.81,55,8.24,,,,,,
56,0.85,56,10.4,,,,,,
57,0.79,57,11.25,,,,,,
58,0.67,58,11.08,,,,,,
59,0.64,59,11.39,,,,,,
60,0.85,60,12.86,,,,,,
61,0.92,61,12.14,,,,,,
62,0.77,62,8.82,,,,,,
63,0.88,63,9.37,,,,,,
64,0.52,64,9.82,,,,,,
65,0.69,65,8.25,,,,,,
66,0.79,66,6.26,,,,,,
67,0.89,67,8.81,,,,,,
68,0.99,68,7.78,,,,,,
69,0.75,69,11.6,,,,,,
70,0.76,70,12.5,,,,,,
71,0.95,71,11.49,,,,,,
72,0.58,72,10.37,,,,,,
