"","prey_time","prey_pop","pred_time","pred_pop","start","end","c_prey","c_pred","window","dilution.rate","Source"
"1","0","6.451",0,5.432,0.1,2,"1","1",50,1.512,"Barnet 1981.csv"
"2","3.789","6.037",2.599,5.595,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"3","5.277","5.654",5.203,7.602,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"4","6.542","5.432",7.509,7.971,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"5","7.584","5.078",13.462,7.395,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"6","8.551","5.299",19.414,6.2,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"7","9.295","5.358",23.432,6.023,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"8","11.304","5.417",25.738,6.17,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"9","12.346","5.521",29.31,6.731,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"10","13.611","5.742",33.699,6.229,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"11","14.28","6.185",39.652,5.565,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"12","15.768","6.333",43.744,5.609,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"13","18.298","6.672",49.25,5.388,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"14","18.968","6.746",53.565,6.82,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"15","20.084","6.687",56.69,6.775,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"16","23.209","6.465",60.782,5.609,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"17","25.441","6.303",64.725,5.624,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"18","26.259","6.2",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"19","27.524","5.846",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"20","28.268","5.654",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"21","29.607","5.255",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"22","32.435","5.226",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"23","33.699","5.255",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"24","34.518","5.565",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"25","35.857","5.595",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"26","36.675","5.89",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
"27","39.726","5.978",NA,NA,NA,NA,"","",NA,NA,"Barnet 1981.csv"
