prey_time,prey_pop,pred_time,pred_pop,start,end,c_prey,c_pred,window,dilution.rate
0,8.402,0,3.154,0.1,2,1,1,50,0.04
26.409,5.781,28.174,4.481,,,,,,
49.356,5.302,50.238,4.717,,,,,,
74.951,5.657,75.833,4.185,,,,,,
125.258,5.893,126.141,4.468,,,,,,
147.323,5.716,147.323,4.35,,,,,,
168.505,6.602,171.152,4.061,,,,,,
194.982,6.95,194.1,3.896,,,,,,
218.812,6.655,220.577,3.64,,,,,,
241.759,6.307,243.524,3.424,,,,,,
265.589,6.3,265.589,3.936,,,,,,
320.309,6.136,320.309,4.665,,,,,,
339.726,5.63,339.726,4.796,,,,,,
361.791,5.505,360.908,4.796,,,,,,
386.503,4.796,383.855,4.566,,,,,,
408.568,5.486,408.568,4.533,,,,,,
477.409,5.873,481.822,4.291,,,,,,
504.769,5.571,503.887,4.015,,,,,,
528.599,5.433,530.364,4.008,,,,,,
554.194,5.348,555.959,3.995,,,,,,
601.854,4.461,602.736,4.126,,,,,,
647.748,5.322,649.513,3.785,,,,,,
671.578,5.689,675.108,3.877,,,,,,
689.229,5.991,690.995,3.831,,,,,,
718.355,5.834,721.002,3.929,,,,,,
748.362,4.396,746.597,4.468,,,,,,
769.545,4.35,768.662,4.481,,,,,,
818.087,4.77,817.204,4.507,,,,,,
840.151,4.974,840.151,4.093,,,,,,
866.629,5.131,862.216,3.962,,,,,,
887.811,4.987,887.811,3.896,,,,,,
915.171,4.698,914.288,4.264,,,,,,
945.179,4.704,944.296,4.304,,,,,,
990.191,4.868,990.191,3.949,,,,,,
1009.607,4.829,1011.373,3.975,,,,,,
1039.615,4.79,1043.146,4.028,,,,,,
1070.506,4.79,1073.154,4.002,,,,,,
