Entry,Study,Expt,Smax,powa,powb,Smin,FinalT
3,2,2,6,-0.4662,0.1044,1,Y
5,2,2,6,0.7302,-0.0093,1,Y
75,15,28,5,6.9596,0.1361,1,Y
199,35,73,3,NA,NA,1,Y
200,35,74,3,NA,NA,1,Y
202,36,75,6,-1.7748,-0.2992,1,Y
204,36,76,6,-1.2053,-2.0485,1,Y
206,36,77,6,-1.4301,0.1484,1,Y
208,37,78,11,-0.932,0.0478,1,Y
232,44,89,24,-0.8271,0.0243,1,Y
235,46,92,5,NA,NA,1,Y
236,46,93,5,NA,NA,1,Y
237,46,94,5,NA,NA,1,Y
239,47,95,6,0.3478,-0.1643,1,Y
241,47,96,6,-0.5657,-0.0292,1,Y
243,47,97,6,-0.8877,0.0155,1,Y
260,55,107,3,-0.632,-0.0247,1,Y
262,55,108,3,-0.7152,-0.083,1,Y
264,55,109,3,-0.5248,0.0168,1,Y
450,69,138,5,-2.8502,-0.2555,1,Y
451,69,139,4,-4.2123,-0.1253,1,Y
452,70,140,4,NA,NA,1,Y
453,70,141,4,NA,NA,1,Y
454,71,142,3,NA,NA,1,Y
455,71,143,3,NA,NA,1,Y
500,78,151,8,-0.5251,0.1698,1,Y
584,91,186,3,-3.8697,0.5612,1,Y
588,91,186,3,-2.3535,-0.2163,1,N
589,91,186,3,-2.6995,-0.0004,1,N
590,91,186,3,-2.9843,-0.5417,1,Y
646,97,207,4,-4.6683,0.1761,1,Y
647,97,207,4,-1.5672,0.0479,1,N
649,97,207,4,-1.4519,0.2331,1,N
651,97,207,4,-1.4772,-0.0611,1,N
653,97,207,4,-0.8346,0.0595,1,N
655,97,207,4,-0.3573,-0.219,1,N
657,97,207,4,-0.2803,0.055,1,N
659,97,207,4,-0.3939,0.1689,1,N
661,97,207,4,-0.2897,0.0009,1,Y
764,110,274,4,-1.3288,0.0118,1,N
766,110,274,4,-1.2328,0.0452,1,N
768,110,274,4,-0.4575,0.0357,1,N
770,110,274,4,-0.8689,0.0418,1,N
772,110,274,4,-0.5231,0.0761,1,N
774,110,274,4,-0.5459,0.0961,1,N
776,110,274,4,-0.5341,-0.0206,1,N
778,110,274,4,-0.5562,0.0463,1,Y
782,111,275,4,-1.7291,0.0539,1,N
783,111,275,4,-1.4165,0.085,1,N
784,111,275,4,-1.06,0.0423,1,Y
799,113,287,3,NA,NA,1,Y
800,113,288,3,NA,NA,1,Y
801,113,289,3,NA,NA,1,Y
802,113,290,3,NA,NA,1,Y
803,113,291,3,NA,NA,1,Y
804,113,292,3,NA,NA,1,Y
805,113,293,3,NA,NA,1,Y
806,113,294,3,NA,NA,1,Y
807,113,295,3,NA,NA,1,Y
808,113,296,3,NA,NA,1,Y
809,113,297,3,NA,NA,1,Y
810,113,298,3,NA,NA,1,Y
811,113,299,3,NA,NA,1,Y
813,113,300,3,NA,NA,1,Y
823,117,306,3,-0.7131,0.0294,1,Y
891,129,339,5,-1.1788,0.0056,1,N
892,129,339,5,-0.6942,-0.0007,1,Y
932,140,356,8,-0.0966,0.0365,1,Y
984,148,398,4,-0.9309,0,1,N
985,148,398,4,-0.5619,0,1,N
986,148,398,4,-0.4315,0,1,N
987,148,398,4,-1.1605,0,1,N
988,148,398,4,-0.1562,0,1,Y
1053,153,405,6,-1.3143,0.0037,1,N
1054,153,405,6,-0.8565,0.0037,1,Y
1057,153,406,6,-0.7268,0.0105,1,N
1058,153,406,6,-0.3345,-0.0063,1,Y
1078,156,425,4,-1.6082,0.5404,1,Y
1086,159,430,4,NA,NA,1,N
1087,159,430,4,NA,NA,1,N
1088,159,430,4,NA,NA,1,N
1089,159,430,4,NA,NA,1,N
1090,159,430,4,NA,NA,1,N
1091,159,430,4,NA,NA,1,N
1092,159,430,4,NA,NA,1,N
1093,159,430,4,NA,NA,1,Y
1095,159,430,4,NA,NA,1,Y
1105,133,344,5,-1.0085,0.057,1,Y
1135,163,436,5,-3.035,0.0872,1,N
1137,163,436,5,-2.0854,-0.1357,1,N
1139,163,436,5,-1.286,-0.1201,1,N
1141,163,436,5,-1.0798,-0.1007,1,Y
1245,167,509,10,-0.4404,0.008,1,Y
1247,167,510,10,-0.7024,0.053,1,Y
1250,169,513,9,-0.8474,-0.0226,1,Y
1252,169,514,9,-1.4739,0.0779,1,Y
1254,170,515,3,NA,NA,1,N
1255,170,515,3,NA,NA,1,N
1256,170,515,3,NA,NA,1,N
1257,170,515,3,NA,NA,1,Y
1258,170,516,3,NA,NA,1,N
1259,170,516,3,NA,NA,1,N
1260,170,516,3,NA,NA,1,N
1261,170,516,3,NA,NA,1,Y
1262,170,517,3,NA,NA,1,N
1263,170,517,3,NA,NA,1,N
1264,170,517,3,NA,NA,1,N
1265,170,517,3,NA,NA,1,Y
1358,181,555,4,-2.1731,0.1877,1,Y
1359,181,555,4,-2.0109,0.0077,1,Y
1360,181,555,4,-1.2952,-0.0952,1,Y
