Entry,Study,Expt,Smax,powa,powb,Smin,FinalT
26,5,12,24,2.6656,1.1798,19,Y
29,5,13,24,0.3852,1.9978,19,Y
44,8,17,7,NA,NA,1,Y
45,8,18,9,0.9107,0.1082,1,Y
46,8,19,6,0.5906,0.0596,1,Y
47,8,20,6,7.1836,0.0077,1,Y
48,8,21,4,NA,NA,1,Y
51,10,23,6,5.7177,0.2934,1,Y
54,10,23,6,5.6217,0.3514,1,Y
84,19,34,6,5.5472,0.0941,1,Y
85,19,35,6,6.1161,0.1703,1,Y
86,19,36,6,6.3124,0.234,1,Y
107,24,42,16,5.6982,0.1179,1,N
108,24,42,16,5.7569,0.0603,1,Y
109,25,43,3,3.4653,-0.0779,1,Y
134,28,52,7,NA,NA,1,N
135,28,52,7,NA,NA,1,N
136,28,52,7,NA,NA,1,Y
137,28,53,7,NA,NA,1,N
138,28,53,7,NA,NA,1,N
139,28,53,7,NA,NA,1,Y
147,28,54,7,NA,NA,1,N
148,28,54,7,NA,NA,1,N
149,28,54,7,NA,NA,1,Y
171,29,57,9,4.392,0.1322,1,Y
172,29,58,9,5.4592,0.3507,1,Y
173,29,59,9,6.0771,0.2979,1,Y
174,30,60,6,5.7264,0.3128,1,Y
175,30,61,6,5.8291,0.5752,1,Y
176,30,62,6,4.8022,0.5752,1,Y
177,30,63,6,5.2714,0.6322,1,Y
178,31,64a,3,-5.3558,0.208,1,Y
179,31,64b,3,-6.2265,0.5656,1,Y
180,31,64c,3,-6.5329,-0.0164,1,Y
181,31,64d,3,-7.2373,0.2768,1,Y
188,32,65,13,NA,NA,1,Y
233,45,90,16,4.1677,0.2116,1,Y
234,45,91,16,4.1751,0.3734,1,Y
245,49,99,6,5.6168,0.7076,1,Y
255,52,103,32,3.8037,-0.0746,1,Y
256,52,104,32,3.4915,0.0082,1,Y
257,53,105,16,2.1483,0.209,1,Y
274,59,113,16,5.3517,0.2583,1,N
275,59,113,16,5.4395,0.1574,1,N
276,59,113,16,5.0307,0.2648,1,N
277,59,113,16,5.1404,0.0785,1,N
278,59,113,16,4.5903,0.3912,1,N
279,59,113,16,5.2496,0.1199,1,N
280,59,113,16,4.7368,0.4669,1,N
281,59,113,16,5.056,0.3326,1,Y
298,59,114,16,5.3994,0.2796,1,N
299,59,114,16,5.5934,0.2191,1,N
300,59,114,16,5.2175,0.2434,1,N
301,59,114,16,5.5171,0.0353,1,N
302,59,114,16,4.8567,0.3016,1,N
303,59,114,16,5.6111,0.0206,1,N
304,59,114,16,5.0438,0.3727,1,N
305,59,114,16,5.4931,0.2036,1,Y
322,59,115,16,5.2059,0.3372,1,N
323,59,115,16,5.5137,0.1539,1,N
324,59,115,16,5.0553,0.2956,1,N
325,59,115,16,5.2222,0.1169,1,N
326,59,115,16,4.6471,0.3864,1,N
327,59,115,16,5.5717,0.0942,1,N
328,59,115,16,4.7758,0.4661,1,N
329,59,115,16,5.0515,0.3863,1,Y
346,59,116,16,5.5597,0.2413,1,N
347,59,116,16,5.6218,0.2545,1,N
348,59,116,16,5.2518,0.2621,1,N
349,59,116,16,5.4642,0.1138,1,N
350,59,116,16,5.3014,0.1029,1,N
351,59,116,16,5.9889,-0.1492,1,N
352,59,116,16,5.3927,0.1981,1,N
353,59,116,16,5.8288,0.0883,1,Y
378,63,122,7,NA,NA,1,Y
379,63,123,7,NA,NA,1,Y
386,65,125,16,6.1495,0.0969,1,N
387,65,125,16,6.2183,0.2918,1,N
388,65,125,16,5.9492,0.3392,1,Y
391,65,126,18,5.3422,0.0507,1,N
392,65,126,18,5.4804,-0.0263,1,Y
395,65,127,8,6.2406,0.0435,1,N
396,65,127,8,6.2177,0.2434,1,N
397,65,127,8,6.6691,0.2074,1,Y
399,65,128,14,5.1113,0.3936,1,N
400,65,128,14,4.8388,0.4345,1,N
401,65,128,14,3.2129,0.4616,1,Y
404,65,129,12,4.2206,0.2466,1,N
405,65,129,12,5.9472,0.3126,1,N
406,65,129,12,6.3601,0.2493,1,Y
407,65,130,11,5.9682,0.0368,1,N
408,65,130,11,6.191,0.139,1,N
409,65,130,11,5.9306,0.2279,1,Y
412,65,131,12,3.8116,0.2388,1,N
413,65,131,12,5.0659,0.4147,1,N
414,65,131,12,4.8187,0.5477,1,Y
416,65,132,32,4.9647,0.0864,1,N
417,65,132,32,5.8985,0.2562,1,N
418,65,132,32,5.4965,0.3722,1,Y
438,67,134,32,5.2669,0.0232,5,Y
439,67,135,32,5.2229,0.0748,5,Y
456,72,144,10,6.2681,0.1661,1,Y
459,73,145,24,4.5382,0.1196,1,N
460,73,145,24,4.8285,0.0803,1,N
461,73,145,24,4.8359,0.1107,1,N
462,73,145,24,4.7836,0.1544,1,N
463,73,145,24,4.8038,0.1998,1,N
464,73,145,24,4.7523,0.2169,1,N
465,73,145,24,4.7229,0.2475,1,N
466,73,145,24,4.1989,0.2238,1,N
476,74,146,16,4.5821,0.2622,1,N
477,74,146,16,5.011,0.1692,1,N
478,74,146,16,5.097,0.2457,1,N
479,74,146,16,4.7759,0.3437,1,N
480,74,146,16,4.8768,0.3437,1,N
481,74,146,16,4.8804,0.3064,1,N
482,74,146,16,5.0401,0.355,1,N
483,74,146,16,5.0275,0.319,1,N
484,74,146,16,4.8708,0.3772,1,N
485,74,146,16,4.647,0.434,1,Y
493,76,149,8,4.8856,0.2958,1,Y
495,77,150,8,5.6475,0.0322,1,N
496,77,150,8,5.3593,0.0981,1,N
497,77,150,8,4.7872,0.2603,1,N
498,77,150,8,4.9134,0.3576,1,Y
501,79,152,9,6.2627,0.2562,1,Y
504,80,153,3,-6.2208,1.156,1,N
505,80,153,3,-3.6323,0.739,1,N
506,80,153,3,-2.8544,0.7096,1,N
507,80,153,3,-2.538,0.7509,1,N
508,80,153,3,-2.1151,0.3965,1,N
509,80,153,3,-1.804,0.1399,1,N
510,80,153,3,-1.2015,-0.3231,1,N
511,80,153,3,-0.8373,-0.4843,1,N
512,80,153,3,-0.1704,-0.5678,1,Y
513,80,154,3,-6.1048,0.0134,1,N
514,80,154,3,-3.6337,0.0856,1,N
515,80,154,3,-2.8036,0.4211,1,N
516,80,154,3,-2.513,0.5092,1,N
517,80,154,3,-2.1121,0.1546,1,N
518,80,154,3,-1.8065,0.02,1,N
519,80,154,3,-1.174,-0.4022,1,N
520,80,154,3,-0.7743,-0.6043,1,N
521,80,154,3,-0.0827,-0.9309,1,Y
524,82,157,8,6.3685,0.2865,1,N
525,82,157,8,6.2529,0.248,1,Y
544,85,163,5,NA,NA,1,Y
545,85,164,5,NA,NA,1,Y
546,86,165,10,-2.5449,0.037,1,Y
548,87,167,6,NA,NA,1,Y
549,87,168,6,NA,NA,1,Y
552,87,169,6,NA,NA,1,Y
553,87,170,6,NA,NA,1,Y
556,87,171,6,0.5344,0.0624,1,Y
557,87,172,6,0.5767,-0.058,1,Y
558,87,173,6,0.8157,-0.0085,1,Y
559,87,174,6,0.6475,0.2766,1,Y
669,98,208,4,NA,NA,1,N
670,98,208,4,NA,NA,1,N
671,98,208,4,NA,NA,1,Y
672,98,209,4,NA,NA,1,N
673,98,209,4,NA,NA,1,N
674,98,209,4,NA,NA,1,Y
675,98,210,4,NA,NA,1,N
676,98,210,4,NA,NA,1,N
677,98,210,4,NA,NA,1,Y
685,101,214,10,-5.147,0.4265,1,Y
687,102,216,8,-6.2259,0.3036,1,Y
688,103,217,5,-1.1029,0.7008,1,N
689,103,217,5,-1.3881,0.747,1,N
690,103,217,5,-1.157,0.7393,1,Y
691,104,218,9,5.074,-0.0141,1,N
692,104,218,9,4.7647,0.1646,1,Y
693,104,219,9,5.1294,-0.056,1,N
694,104,219,9,5.1484,-0.1045,1,Y
695,104,220,9,5.3765,-0.0269,1,N
696,104,220,9,5.2207,0.034,1,Y
697,104,221,9,5.235,-0.0426,1,N
698,104,221,9,4.9325,0.1412,1,Y
699,105,222,3,5.5265,0.3209,1,Y
700,105,223,3,NA,NA,1,Y
701,106,224,6,6.6224,0.4028,1,Y
702,106,225,6,6.7655,0.0861,1,Y
703,106,226,6,6.924,0.0595,1,Y
704,106,227,6,7.0173,0.1086,1,Y
705,106,228,6,6.8361,0.3633,1,Y
706,106,229,6,6.4677,0.3939,1,Y
707,106,230,6,6.9366,0.0285,1,Y
708,106,231,6,7.1354,0.086,1,Y
709,107,232,8,6.3701,0.2828,1,N
710,107,232,8,6.1951,0.2815,1,N
711,107,232,8,5.6594,0.3402,1,N
712,107,232,8,5.8432,0.2719,1,N
713,107,232,8,5.4388,0.3539,1,N
714,107,232,8,5.4677,0.3245,1,N
715,107,232,8,6.3618,0.2395,1,N
716,107,232,8,5.4346,0.4071,1,Y
717,108,233,6,NA,NA,1,Y
718,108,234,6,NA,NA,1,Y
719,108,235,6,NA,NA,1,Y
720,108,236,6,NA,NA,1,Y
721,108,237,6,NA,NA,1,Y
722,108,238,6,NA,NA,1,Y
723,108,239,6,NA,NA,1,Y
724,108,240,6,NA,NA,1,Y
725,108,241,6,NA,NA,1,Y
726,108,242,6,NA,NA,1,Y
727,108,243,6,NA,NA,1,Y
728,108,244,6,NA,NA,1,Y
729,108,245,6,NA,NA,1,Y
730,108,246,6,NA,NA,1,Y
731,108,247,6,NA,NA,1,Y
732,108,248,6,NA,NA,1,Y
733,108,249,6,NA,NA,1,Y
734,108,250,6,NA,NA,1,Y
735,108,251,6,NA,NA,1,Y
736,108,252,6,NA,NA,1,Y
737,108,253,6,NA,NA,1,Y
738,108,254,6,NA,NA,1,Y
739,108,255,6,NA,NA,1,Y
740,108,256,6,NA,NA,1,Y
741,108,257,6,NA,NA,1,Y
742,108,258,6,NA,NA,1,Y
743,108,259,6,NA,NA,1,Y
744,108,260,6,NA,NA,1,Y
745,108,261,6,NA,NA,1,Y
746,108,262,6,NA,NA,1,Y
747,108,263,6,NA,NA,1,Y
748,108,264,6,NA,NA,1,Y
749,108,265,6,NA,NA,1,Y
750,108,266,6,NA,NA,1,Y
751,108,267,6,NA,NA,1,Y
752,108,268,6,NA,NA,1,Y
753,108,269,6,NA,NA,1,Y
754,108,270,6,NA,NA,1,Y
755,108,271,6,NA,NA,1,Y
756,108,272,6,NA,NA,1,Y
814,114,301,9,6.2493,0.3777,1,N
815,114,301,9,6.2746,0.1392,1,Y
816,115,302,6,6.8537,-0.3749,1,Y
817,115,303,5,7.8829,0.075,1,N
818,115,303,5,8.1635,0.1055,1,Y
827,118,307,20,5.5121,0.3142,1,N
828,118,307,20,5.6795,0.0581,1,N
829,118,307,20,4.9872,0.2433,1,N
830,118,307,20,4.9343,0.3284,1,N
831,118,307,20,4.4382,0.4619,1,Y
832,118,308,20,5.0684,0.4258,1,N
833,118,308,20,5.0046,0.1657,1,N
834,118,308,20,4.8081,0.2514,1,N
835,118,308,20,4.6442,0.3822,1,N
836,118,308,20,4.6832,0.3115,1,Y
837,118,309,20,5.4238,0.1391,1,N
838,118,309,20,5.1401,0.1038,1,N
839,118,309,20,4.8562,0.2357,1,N
840,118,309,20,4.6403,0.2686,1,Y
841,118,310,20,4.9937,0.4606,1,N
842,118,310,20,4.799,0.2331,1,N
843,118,310,20,4.5335,0.4422,1,N
844,118,310,20,4.7045,0.3149,1,Y
847,119,311,16,6.2329,0.3115,1,Y
848,120,312,12,6.2778,0.0558,2,N
849,120,312,12,6.0854,0.1287,2,N
850,120,312,12,6.2586,0.0786,2,Y
872,124,332,16,7.1389,0.1005,1,N
877,126,334,4,NA,NA,1,Y
878,126,335,4,NA,NA,1,Y
887,128,338,14,4.8475,0.2422,1,Y
901,131,341,4,7.3154,-0.227,1,Y
911,135,346,6,7.6957,0.0917,1,Y
914,136,347,4,NA,NA,1,Y
915,137,348,6,5.2629,0.385,1,Y
916,137,349,6,4.794,0.4524,1,Y
933,141,357,3,10.1399,0.3671,1,Y
934,141,358,3,10.4374,0.2566,1,Y
935,141,359,3,10.2487,0.3078,1,Y
936,141,360,3,10.5969,0.1413,1,Y
947,144,366,18,5.7785,0.0005,1,Y
948,145,367,3,4.9942,-0.6952,1,Y
993,150,401,9,6.5014,0.0106,1,N
994,150,401,9,6.682,0.1069,1,N
995,150,401,9,6.3991,0.1518,1,N
996,150,401,9,6.6583,0.1598,1,N
