Citation,nobs,bio,factor,ln.RR,CI.max,CI.L,CI.U,CI.type,Err.orig,Err.orig.num
Cudlin.et.al.2007,12,BG,Acid,-0.186329578,0.166126871,-0.342490309,-0.020202707,symm,CI,NA
Vadeboncoeur.2010,31,AG,Ca,0.350656872,0.46912296,-0.105360516,0.819779831,a,CI,NA
Ainsworth.2008,155,AG,CO2,0.207014169,0.024692613,0.182321557,0.231111721,symm,CI,NA
DeGraaff.et.al.2006,67,AG,CO2,0.194744077,0.045462374,0.149281703,0.231905057,a,CI,NA
DeGraaff.et.al.2006,44,BG,CO2,0.249201086,0.078614785,0.170586301,0.323531725,a,CI,NA
Lee.et.al.2010,156,AG,CO2,0.108854405,0.044507504,0.064346901,0.153361909,symm,SD,0.281412459
Lee.et.al.2010,118,BG,CO2,0.100749903,0.048532802,0.052217101,0.149282705,symm,SD,0.266203041
Luo.et.al.2006,186,AG,CO2,0.202,0.03413065,0.16786935,0.23613065,symm,SE,0.0173
Luo.et.al.2006,168,AG,CO2,0.275,0.056464149,0.218535851,0.331464149,symm,SE,0.0286
Stiling.Cornelissen.2007,10,mixed,CO2,0.324977857,0.098639415,0.226338442,0.415415439,a,CI,NA
Wang.2007,696,total,CO2,0.262551939,0.021961474,0.240590465,0.282166892,a,CI,NA
Wang.2007,205,total,CO2,0.121915817,0.028425474,0.093490343,0.146694379,a,CI,NA
Wang.2007,565,AG,CO2,0.232697764,0.023803191,0.210260925,0.256500955,a,CI,NA
Wang.2007,175,AG,CO2,0.116893751,0.032387951,0.085259844,0.149281703,a,CI,NA
Wang.2007,415,BG,CO2,0.298622012,0.034720469,0.263901544,0.327863862,a,CI,NA
Wang.2007,116,BG,CO2,0.112435429,0.060792196,0.051643233,0.170586301,a,CI,NA
Cudlin.et.al.2007,20,BG,Drought,-0.616186139,0.274553905,-0.891598119,-0.342490309,symm,CI,NA
Gruner.et.al.2008,191,mixed,HBV,0.82,0.2,0.62,1.01,a,CI,NA
Liao.et.al.2008,84,AG,invasion,0.844622857,0.023521195,0.821101662,0.868144052,symm,CI,NA
Liao.et.al.2008,60,BG,invasion,0.050217716,0.030238183,0.019979533,0.080455899,symm,CI,NA
Cudlin.et.al.2007,21,BG,N,0.113328685,0.277280509,-0.162518929,0.392042088,symm,CI,NA
LeBauer.Treseder.2008,126,AG,N,0.254642218,0.050626867,0.198850859,0.300104592,symm,CI,NA
Vadeboncoeur.2010,100,AG,N,0.418710335,0.296492702,0.122217633,0.683096845,a,CI,NA
Xia.Wan.2008,1582,mixed,N ,0.429181635,0.03080828,0.398373354,0.459005875,a,CI,NA
Elser.et.al.2007,509,mixed,N ,0.2314,0.041011259,0.190388741,0.272411259,symm,SE,0.020874643
Elser.et.al.2007,149,mixed,N ,0.5185,0.139135073,0.379364927,0.657635073,symm,SE,0.070408122
Elser.et.al.2007,112,mixed,N ,0.2601,0.117234452,0.142865548,0.377334452,symm,SE,0.059162505
Lee.et.al.2010,200,AG,N ,0.275356423,0.040705281,0.234651142,0.316061704,symm,SD,0.291923067
Lee.et.al.2010,96,BG,N ,-0.061875404,0.038623275,-0.100498678,-0.023252129,symm,SD,0.19062036
Xia.Wan.2008,137,mixed,NCO2,0.831168478,0.09348717,0.740030766,0.924655648,a,CI,NA
Xia.Wan.2008,115,mixed,NCO2,0.530628251,0.110602992,0.420025259,0.63286625,a,CI,NA
Ainsworth.2008,68,AG,Ozone,-0.174829691,0.096454236,-0.271283927,-0.080342753,symm,CI,NA
Cudlin.et.al.2007,41,BG,Ozone,0.039220713,0.109199292,-0.061875404,0.148420005,symm,CI,NA
Feng.et.al.2008,92,AG,Ozone,-0.204076489,0.041910438,-0.244239515,-0.162166051,a,CI,NA
Feng.et.al.2008,40,BG,Ozone,-0.322549608,0.092965836,-0.415515444,-0.23395175,a,CI,NA
Wittig.et.al.2009,99,total,Ozone,-0.073675604,0.034912336,-0.10858794,-0.039208713,a,CI,NA
Wittig.et.al.2009,95,AG,Ozone,-0.06134363,0.037370135,-0.098713765,-0.025215249,a,CI,NA
Wittig.et.al.2009,77,BG,Ozone,-0.048602182,0.047021934,-0.094255736,-0.001580248,a,CI,NA
Wittig.et.al.2009,406,total,Ozone,-0.190277119,0.032241628,-0.222518747,-0.160990686,a,CI,NA
Wittig.et.al.2009,370,AG,Ozone,-0.14618251,0.0276948,-0.17387731,-0.120135801,a,CI,NA
Wittig.et.al.2009,353,BG,Ozone,-0.207639365,0.037366433,-0.245005798,-0.171619034,a,CI,NA
Wittig.et.al.2009,177,total,Ozone,-0.110988546,0.036120319,-0.147108865,-0.076989042,a,CI,NA
Wittig.et.al.2009,191,AG,Ozone,-0.102586589,0.03128772,-0.133874309,-0.072355662,a,CI,NA
Wittig.et.al.2009,153,BG,Ozone,-0.125676608,0.039573909,-0.164638822,-0.086102699,a,CI,NA
Vadeboncoeur.2010,12,AG,P,0.048790164,3.555348061,-3.506557897,3.218875825,a,CI,NA
Li.et.al.2010,53,total,UV,-0.124430078,0.069154671,-0.193584749,-0.05551271,symm,CI,NA
Li.et.al.2010,19,total,UV,-0.14618251,0.138836445,-0.285018955,-0.008032172,symm,CI,NA
Li.et.al.2010,80,AG,UV,-0.181521877,0.069506878,-0.251028755,-0.113168698,symm,CI,NA
Li.et.al.2010,9,AG,UV,-0.086647807,0.253029561,-0.339677368,0.165175398,symm,CI,NA
Li.et.al.2010,27,BG,UV,-0.050241216,0.118177435,-0.168418652,0.066723632,symm,CI,NA
Li.et.al.2010,5,BG,UV,-0.029428811,0.342047368,-0.368169323,0.312618558,symm,CI,NA
Li.et.al.2010,75,total,UV,-0.072570693,0.051859386,-0.124430078,-0.021223636,symm,CI,NA
Li.et.al.2010,7,total,UV,-0.14387037,0.183245771,-0.327116142,0.037295785,symm,CI,NA
Li.et.al.2010,62,AG,UV,-0.012072581,0.041340079,-0.053400777,0.029267498,symm,CI,NA
Li.et.al.2010,12,AG,UV,0.009455159,0.116296047,-0.106472245,0.125751205,symm,CI,NA
Li.et.al.2010,35,BG,UV,0.048790164,0.091697665,-0.042907501,0.139761942,symm,CI,NA
Li.et.al.2010,9,BG,UV,-0.112049504,0.194475656,-0.30652516,0.076775839,symm,CI,NA
Newsham.Robinson.2009,18,AG,UV,-0.157238776,0.116014559,-0.273253336,-0.053400777,a,CI,NA
Newsham.Robinson.2009,7,BG,UV,-0.048665172,0.310154928,-0.3588201,0.186479567,a,CI,NA
Newsham.Robinson.2009,14,total,UV,0.004489905,0.117546628,-0.113056722,0.106969221,a,CI,NA
Lin.et.al.2010,1064,mixed,warming,0.116003676,0.038258712,0.077744964,0.154262388,symm,CI,NA
Elser.et.al.2007,618,mixed,NP,1.105,0.086873969,1.018126031,1.191873969,symm,SE,0.04423732
Elser.et.al.2007,197,mixed,NP,0.7706,0.16350074,0.60709926,0.93410074,symm,SE,0.082905189
Elser.et.al.2007,126,mixed,NP,0.5754,0.131677978,0.443722022,0.707077978,symm,SE,0.066533462
Elser.et.al.2007,506,mixed,P,0.2564,0.052162073,0.204237927,0.308562073,symm,SE,0.026550007
Elser.et.al.2007,141,mixed,P,0.1747,0.110121079,0.064578921,0.284821079,symm,SE,0.055699589
Elser.et.al.2007,107,mixed,P,0.2572,0.133086847,0.124113153,0.390286847,symm,SE,0.067127525
