Species,Life stage,Life style,Taxonomic group,Host species,Lake,Season,Number of samples,Minimum sample size,Maximum sample size,Total sample size,Log total sample size,Body mass (mg),Log body mass,Mean density (m²),Log mean,SD,SD/Mean,Variance,Log variance
Alboglossiphonia sp,Ad,Free-living parasitised,Annelid,,Tomahawk,January,24,0,1,1,0,14.439615,1.1595556139,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Alboglossiphonia sp,Ad,Free-living parasitised,Annelid,,Tomahawk,September,24,0,1,1,0,14.439615,1.1595556139,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Alboglossiphonia sp,Ad,Free-living parasitised,Annelid,,Waihola,January,24,0,1,1,0,14.439615,1.1595556139,0.416666667,-0.380211242,2.041241452,4.898979486,4.166666667,0.619788758
Alboglossiphonia sp,Ad,Free-living parasitised,Annelid,,Tuakitoto,September,24,0,3,14,1.1461280357,14.439615,1.1595556139,6.083333333,0.784141614,9.050182158,1.487701177,81.9057971,1.913314641
Alboglossiphonia sp,Ad,Free-living parasitised,Annelid,,Tuakitoto,January,24,0,5,18,1.2552725051,14.439615,1.1595556139,7.583333333,0.879860146,12.20091467,1.608911825,148.8623188,2.17278478
Alboglossiphonia sp,Ad,Free-living parasitised,Annelid,,Tuakitoto,May,24,0,5,21,1.3222192947,14.439615,1.1595556139,9.166666667,0.962211439,12.83902565,1.40062098,164.8405797,2.217064133
Aldrichetta forsteri,Ad,Free-living parasitised,Fish,,Waihola,January,4,0,8,15,1.1760912591,215200,5.332842267,0.016666667,-1.77815125,0.019330353,1.159821187,0.000373663,-3.427520425
Alona sp,Ad,Free-living,Crustacean,,Hayes,May,16,0,6,13,1.1139433523,0.002130166,-2.671586551,1.625,0.210853365,3.117156824,1.918250353,9.716666667,0.987517304
Alona sp,Ad,Free-living,Crustacean,,Hayes,September,16,0,5,16,1.2041199827,0.002130166,-2.671586551,2,0.301029996,3.346640106,1.673320053,11.2,1.049218023
Alona sp,Ad,Free-living,Crustacean,,Tuakitoto,May,16,0,4,17,1.2304489214,0.002130166,-2.671586551,2.125,0.327358934,2.777888887,1.307241829,7.716666667,0.887429741
Alona sp,Ad,Free-living,Crustacean,,Hayes,January,16,0,6,24,1.3802112417,0.002130166,-2.671586551,3,0.477121255,4.320493799,1.4401646,18.66666667,1.271066772
Alona sp,Ad,Free-living,Crustacean,,Tuakitoto,September,16,0,14,85,1.9294189257,0.002130166,-2.671586551,10.625,1.026328939,11.06872471,1.041762325,122.5166667,2.088195172
Anguilla australis,Ad,Free-living parasitised,Fish,,Waihola,May,4,0,1,1,0,366483.3333,5.5640542289,0.001111111,-2.954242509,0.002222222,2,0.00000494,-5.306425028
Anguilla australis,Ad,Free-living parasitised,Fish,,Tuakitoto,May,4,0,2,3,0.4771212547,366483.3333,5.5640542289,0.003333333,-2.477121255,0.004255232,1.276569477,0.000018107,-4.742153597
Anguilla australis,Ad,Free-living parasitised,Fish,,Waihola,January,4,1,6,13,1.1139433523,366483.3333,5.5640542289,0.014444444,-1.840299157,0.009162457,0.634323942,0.0000839506,-4.075976106
Anguilla australis,Ad,Free-living parasitised,Fish,,Tuakitoto,January,4,5,14,36,1.5563025008,366483.3333,5.5640542289,0.04,-1.397940009,0.017403467,0.435086671,0.000302881,-3.518728459
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Hayes,May,4,0,1,1,0,1602625,6.2048319132,0.001111111,-2.954242509,0.002222222,2,0.00000494,-5.306425028
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Tomahawk,September,4,0,2,2,0.3010299957,705800,5.848681654,0.002222222,-2.653212514,0.004444444,2,0.0000197531,-4.704365036
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Tuakitoto,May,4,0,2,2,0.3010299957,1602625,6.2048319132,0.002222222,-2.653212514,0.004444444,2,0.0000197531,-4.704365036
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Tuakitoto,September,4,0,2,3,0.4771212547,329350,5.5176576678,0.003333333,-2.477121255,0.004255232,1.276569477,0.000018107,-4.742153597
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Waihola,May,4,0,1,3,0.4771212547,1602625,6.2048319132,0.003333333,-2.477121255,0.002222222,0.666666667,0.00000494,-5.306425028
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Hayes,January,4,0,2,4,0.6020599913,2100000,6.3222192947,0.004444444,-2.352182518,0.003628874,0.816496581,0.0000131687,-4.880456295
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Tomahawk,January,4,0,2,4,0.6020599913,1247500,6.0960405543,0.004444444,-2.352182518,0.005132002,1.154700538,0.0000263374,-4.5794263
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Hayes,September,4,0,2,5,0.6989700043,1570000,6.1958996524,0.005555556,-2.255272505,0.004255232,0.765941686,0.000018107,-4.742153597
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Tomahawk,May,4,0,2,7,0.84509804,1602625,6.2048319132,0.007777778,-2.109144469,0.002222222,0.285714286,0.00000494,-5.306425028
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Tuakitoto,January,4,1,7,12,1.079181246,261500,5.4174716932,0.013333333,-1.875061263,0.014054567,1.054092553,0.000197531,-3.704365036
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Waihola,September,4,0,9,13,1.1139433523,218050,5.338556091,0.014444444,-1.840299157,0.017916128,1.240347346,0.000320988,-3.493511671
Anguilla dieffenbachii,Ad,Free-living parasitised,Fish,,Waihola,January,4,0,10,25,1.3979400087,103566.6667,5.0152199987,0.027777778,-1.556302501,0.02,0.72,0.0004,-3.397940009
Anisops sp,Ad,Free-living,Insect,,Tomahawk,January,24,0,1,1,0,25.95905,1.4142887949,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Anisops sp,Ad,Free-living,Insect,,Tuakitoto,January,24,0,3,7,0.84509804,25.95905,1.4142887949,0.583333333,-0.234083206,1.501207244,2.573498132,2.253623188,0.352881303
Anisops sp,Ad,Free-living,Insect,,Tuakitoto,September,24,0,5,7,0.84509804,25.95905,1.4142887949,0.583333333,-0.234083206,2.165272684,3.71189603,4.688405797,0.671025194
Antiporus  sp,Ad,Free-living,Insect,,Hayes,September,24,0,1,1,0,11.896,1.0754009555,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Antiporus  sp,Ad,Free-living,Insect,,Tuakitoto,January,24,0,1,1,0,11.896,1.0754009555,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Antiporus  sp,Ad,Free-living,Insect,,Tuakitoto,September,24,0,1,1,0,11.896,1.0754009555,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Antiporus  sp,Ad,Free-living,Insect,,Hayes,January,24,0,2,3,0.4771212547,11.896,1.0754009555,0.25,-0.602059991,0.896854406,3.587417625,0.804347826,-0.094556108
Antiporus  sp,Ad,Free-living,Insect,,Hayes,May,24,0,3,4,0.6020599913,11.896,1.0754009555,2.416666667,0.383216752,5.106829755,2.113170933,26.07971015,1.41630276
