code,species
ABU,Abutilon spp.
ACAFRU,Acalypha fruticosa
ACAROB,Acacia robusta
ACASEN,Acacia senegal
ACASEY,Acacia seyal
ACATOR,Acacia tortilis
ACAXAN,Acacia xanthophloea
ACHASP,Achyranthes aspera
ACIJUB,Acinonyx jubatus
AEPMEL,Aepyceros melampus
ALBHAR,Albizia harveyi
ALBU,Albuca spp.
ALCBUS,Alcelaphus buselaphus
ALLRUB,Allophylus rubifolius
ALOMAC,Aloe macrosiphon
ALOSEC,Aloe secundiflora
ANDGRE,Andropogon greenwayi
ANDSCH,Andropogon schirensis
ARI,Aristida spp.
BALAEG,Balanites aegyptiaca
BLEACA,Blepharis acanthodioides
BOSAUG,Boscia augustifolia
BOTINS,Bothriochloa insculpta
BRASEM,Brachiaria semiundulata
CANAUR,Canis aureus
CANMES,Canis mesomelas
CAPTOM,Capparis tomentosa
CARCAR,Caracal caracal
CECCIL,Pennisetum ciliare
CHLGAY,Chloris gayana
CHLPYC,Chloris pycnothrix
CHLROX,Chloris roxburghiana
CISQUA,Cissus quadrangularis
CISROT,Cissus rotundifolia
COMMEAFR,Commelina africana
COMMER,Commiphora merkeri
COMMIAFR,Commiphora trothae
COMMOL,Combretum molle
COMSCH,Commiphora schimperi
CONTAU,Connochaetes taurinus
COROVA,Cordia ovalis
CROCRO,Crocuta crocuta
CRODIC,Croton dichogamus
CROMAC,Croton macrostachyus
CROSPI,Crotalaria spinosa
CYMEXC,Cymbopogon excavatus
CYNDAC,Cynodon dactylon
CYP,Cyperus spp.
CYPH,Cyphostemma spp.
DAMKOR,Damaliscus korrigum
DIGDIA,Digitaria diagonalis
DIGMAC,Digitaria macroblephara
DIGMIL,Digitaria milanjiana
DIGSCA,Digitaria scalarum
DIGTER,Digitaria ternata
DIGVEL,Digitaria velutina
DIHAMP,Diheteropogon amplectens
DINRET,Dinebra retroflexa
DUOKIL,Duosperma kilimandscharica
ECHHAP,Echinochloa haploclada
EMICOC,Emilia coccinea
EQUBUR,Equus quagga
ERAASP,Eragrostis aspera
ERACIL,Eragrostis cilianensis
ERAEXA,Eragrostis exasperata
ERATEN,Eragrostis tenuifolia
ERINUB,Eriochloa nubica
EUPCAN,Euphorbia candelabrum
EUSPAS,Eustachys paspaloides
FICGLU,Ficus glumosa
FICING,Ficus ingens
FICTHI,Ficus thonningii
GAZGRA,Nanger granti
GAZTHO,Eudorcas thomsonii
GIRCAM,Giraffa camelopardalis
GREBIC,Grewia bicolor
GREFAL,Grewia fallax
GRETRI,Grewia trichocarpa
HARSCH,Harpachne schimperi
HELSTE,Heliotropium steudneri
HETBRU,Heterohyrax brucei
HETCON,Heteropogon contortus
HIB,Hibiscus spp.
HIBLUN,Hibiscus lunariifolius
HIPAMP,Hippopotamus amphibius
HOSOPP,Hoslundia opposita
HYPDIS,Hyperthelia dissoluta
HYPFIL,Hyparrhenia filipendula
HYPFOR,Hypoestes forskaolii
HYPRUF,Hyparrhenia rufa
IBO,Iboza spp.
INDBAS,Indigofera basiflora
INDHOC,Indigofera hochstetteri
IPOOBS,Ipomoea obscura
JAS,Jasminum spp.
KAL,Kalanchoe spp.
KEDFOE,Kedrostis foetidissima
KIGAFR,Kigelia africana
KOBELL,Kobus ellipsiprymnus
KYLNER,Kyllinga nervosa
LEPSER,Leptailurus serval
LIPUKA,Lippia ukambensis
LONERI,Lonchocarpus eriocalyx
LOXAFR,Loxodonta africana
LYCPIC,Lycaon pictus
MADKIR,Madoqua kirkii
MAETRI,Maerua cafra
MICKUN,Microchloa kunthii
OCI,Ocimum spp.
OLE,Olea spp.
OUROUR,Ourebia ourebi
PANCOL,Panicum coloratum
PANDEU,Panicum deustum
PANLEO,Panthera leo
PANMAX,Panicum maximum
PANPAR,Panthera pardus
PANREP,Panicum repens
PAPANU,Papio anubis
PAPCAP,Pappea capensis
PAVASS,Pavetta assimilis
PAVPAT,Pavonia patens
PEDCAP,Pedetes capensis
PELCAL,Pellaea calomelanos
PENMEZ,Pennisetum mezianum
PENSTR,Pennisetum stramineum
PHAAET,Phacochoerus africanus
PHRMAU,Phragmites mauritianus
PHYSEP,Phyllanthus sepialis
PROCAP,Procavia capensis
PSIJAE,Psilolemma jaegeri
PUPLAP,Pupalia lappacea
REDRED,Redunca redunca
RHAPUM,Rhabdomys pumilio
RHOREV,Rhoicissus revoilii
SARVER,Sarga versicolor
SCLBIR,Sclerocarya birrea
SENDID,Senna didymobotrya
SENEHR,Sansevieria ehrenbergii
SENSUF,Sansevieria suffruticosa
SETPAL,Setaria pallidefusca
SETSPH,Setaria sphacelata
SID,Sida spp.
SOLDEN,Solanum dennekense
SOLINC,Solanum incanum
SOLNIG,Solanum nigrum
SPOFES,Sporobolus festivus
SPOFIM,Sporobolus fimbriatus
SPOIOC,Sporobolus ioclados
SPOPEL,Sporobolus pellucidus
SPOPYR,Sporobolus pyramidalis
SPOSPI,Sporobolus spicatus
SPOSTA,Sporobolus stapfianus
SYNCAF,Syncerus caffer
TAUORY,Taurotragus oryx
THETRI,Themeda triandra
TRASCR,Tragelaphus scriptus
TRIEIC,Tricholaena teneriffae
TURFIS,Turraea fischeri
TYPCAP,Typha capensis
XIMCAF,Ximenia caffra
ZIZ,Ziziphus spp.
