pred_code,prey_code
ACIJUB,AEPMEL
ACIJUB,CONTAU
ACIJUB,GAZGRA
ACIJUB,GAZTHO
ACIJUB,MADKIR
ACIJUB,OUROUR
ACIJUB,PHAAET
ACIJUB,REDRED
CANAUR,CONTAU
CANAUR,EQUBUR
CANAUR,GAZGRA
CANAUR,GAZTHO
CANMES,MADKIR
CARCAR,MADKIR
CARCAR,PEDCAP
CARCAR,PROCAP
CARCAR,RHAPUM
CROCRO,AEPMEL
CROCRO,ALCBUS
CROCRO,CONTAU
CROCRO,DAMKOR
CROCRO,EQUBUR
CROCRO,GAZGRA
CROCRO,GAZTHO
CROCRO,KOBELL
CROCRO,MADKIR
CROCRO,OUROUR
CROCRO,PHAAET
CROCRO,REDRED
LEPSER,RHAPUM
LYCPIC,AEPMEL
LYCPIC,ALCBUS
LYCPIC,CONTAU
LYCPIC,DAMKOR
LYCPIC,EQUBUR
LYCPIC,GAZGRA
LYCPIC,GAZTHO
LYCPIC,KOBELL
LYCPIC,MADKIR
LYCPIC,OUROUR
LYCPIC,PHAAET
LYCPIC,REDRED
LYCPIC,RHAPUM
LYCPIC,TRASCR
PANLEO,AEPMEL
PANLEO,ALCBUS
PANLEO,CONTAU
PANLEO,CROCRO
PANLEO,DAMKOR
PANLEO,EQUBUR
PANLEO,GAZGRA
PANLEO,GAZTHO
PANLEO,GIRCAM
PANLEO,KOBELL
PANLEO,MADKIR
PANLEO,OUROUR
PANLEO,PANLEO
PANLEO,PHAAET
PANLEO,REDRED
PANLEO,RHAPUM
PANLEO,SYNCAF
PANLEO,TAUORY
PANLEO,TRASCR
PANPAR,ACIJUB
PANPAR,AEPMEL
PANPAR,ALCBUS
PANPAR,CANAUR
PANPAR,CANMES
PANPAR,CONTAU
PANPAR,DAMKOR
PANPAR,EQUBUR
PANPAR,GAZGRA
PANPAR,GAZTHO
PANPAR,HETBRU
PANPAR,KOBELL
PANPAR,LEPSER
PANPAR,MADKIR
PANPAR,OUROUR
PANPAR,PAPANU
PANPAR,PEDCAP
PANPAR,PHAAET
PANPAR,REDRED
PANPAR,RHAPUM
PANPAR,TAUORY
PANPAR,TRASCR
AEPMEL,ACASEN
AEPMEL,ACATOR
AEPMEL,ANDGRE
AEPMEL,ARI
AEPMEL,BRASEM
AEPMEL,CHLGAY
AEPMEL,COMMOL
AEPMEL,CROMAC
AEPMEL,CYNDAC
AEPMEL,GREBIC
AEPMEL,HARSCH
AEPMEL,HIB
AEPMEL,HYPFIL
AEPMEL,HYPRUF
AEPMEL,INDHOC
AEPMEL,PANMAX
AEPMEL,PENMEZ
AEPMEL,SID
AEPMEL,SOLINC
AEPMEL,SPOFES
AEPMEL,SPOIOC
AEPMEL,SPOPYR
AEPMEL,THETRI
ALCBUS,ANDGRE
ALCBUS,ARI
ALCBUS,BOTINS
ALCBUS,BRASEM
ALCBUS,CYNDAC
ALCBUS,DIGMAC
ALCBUS,DIGSCA
ALCBUS,DINRET
ALCBUS,EUSPAS
ALCBUS,HARSCH
ALCBUS,HETCON
ALCBUS,HYPFIL
ALCBUS,HYPRUF
ALCBUS,PANCOL
ALCBUS,PENMEZ
ALCBUS,SID
ALCBUS,SOLINC
ALCBUS,SPOIOC
ALCBUS,SPOPYR
ALCBUS,SPOSPI
ALCBUS,THETRI
CONTAU,ANDGRE
CONTAU,ARI
CONTAU,BOTINS
CONTAU,BRASEM
CONTAU,CHLGAY
CONTAU,CYNDAC
CONTAU,DIGDIA
CONTAU,DIGMAC
CONTAU,DIGSCA
CONTAU,DINRET
CONTAU,ERACIL
CONTAU,ERATEN
CONTAU,EUSPAS
CONTAU,HARSCH
CONTAU,HYPFIL
CONTAU,HYPRUF
CONTAU,INDHOC
CONTAU,MICKUN
CONTAU,PANCOL
CONTAU,PANMAX
CONTAU,PENMEZ
CONTAU,SID
CONTAU,SOLINC
CONTAU,SPOIOC
CONTAU,SPOPYR
CONTAU,THETRI
DAMKOR,ARI
DAMKOR,BOTINS
DAMKOR,BRASEM
DAMKOR,CROMAC
DAMKOR,CYNDAC
DAMKOR,ERACIL
DAMKOR,HARSCH
DAMKOR,HIB
DAMKOR,HYPRUF
DAMKOR,PENMEZ
DAMKOR,PSIJAE
DAMKOR,SPOPYR
DAMKOR,SPOSPI
DAMKOR,THETRI
EQUBUR,ARI
EQUBUR,BOTINS
EQUBUR,BRASEM
EQUBUR,CROMAC
EQUBUR,CYNDAC
EQUBUR,DIGMAC
EQUBUR,DINRET
EQUBUR,ERATEN
EQUBUR,EUSPAS
EQUBUR,GREBIC
EQUBUR,HARSCH
EQUBUR,HETCON
EQUBUR,HYPFIL
EQUBUR,HYPRUF
EQUBUR,PANCOL
EQUBUR,PENMEZ
EQUBUR,SOLINC
EQUBUR,SPOPYR
EQUBUR,THETRI
GAZGRA,ANDGRE
GAZGRA,ARI
GAZGRA,BALAEG
GAZGRA,BOTINS
GAZGRA,CYNDAC
GAZGRA,DIGMAC
GAZGRA,DIGSCA
GAZGRA,DINRET
GAZGRA,DUOKIL
GAZGRA,ERATEN
GAZGRA,EUSPAS
GAZGRA,GREBIC
GAZGRA,HARSCH
GAZGRA,HETCON
GAZGRA,HIB
GAZGRA,HYPFIL
GAZGRA,HYPRUF
GAZGRA,INDHOC
GAZGRA,MICKUN
GAZGRA,PANCOL
GAZGRA,PENMEZ
GAZGRA,PENSTR
GAZGRA,SID
GAZGRA,SOLINC
GAZGRA,SPOFIM
GAZGRA,SPOIOC
GAZGRA,THETRI
GAZTHO,ANDGRE
GAZTHO,ARI
GAZTHO,BALAEG
GAZTHO,BOTINS
GAZTHO,BRASEM
GAZTHO,CYNDAC
GAZTHO,DIGDIA
GAZTHO,DIGMAC
GAZTHO,DIGSCA
GAZTHO,DINRET
GAZTHO,ERACIL
GAZTHO,ERATEN
GAZTHO,EUSPAS
GAZTHO,HARSCH
GAZTHO,HETCON
GAZTHO,HYPRUF
GAZTHO,INDHOC
GAZTHO,MICKUN
GAZTHO,PANCOL
GAZTHO,PENMEZ
GAZTHO,SID
GAZTHO,SOLINC
GAZTHO,SPOFIM
GAZTHO,SPOIOC
GAZTHO,THETRI
GIRCAM,ACAROB
GIRCAM,ACASEN
GIRCAM,ACASEY
GIRCAM,ACATOR
GIRCAM,BALAEG
GIRCAM,COMMIAFR
GIRCAM,COROVA
GIRCAM,CROMAC
GIRCAM,GREBIC
GIRCAM,GREFAL
GIRCAM,GRETRI
GIRCAM,HIB
GIRCAM,HIBLUN
GIRCAM,INDHOC
GIRCAM,MAETRI
GIRCAM,OLE
GIRCAM,PAVASS
GIRCAM,PHYSEP
GIRCAM,SID
GIRCAM,SOLINC
HETBRU,ABU
HETBRU,ACAFRU
HETBRU,ACAROB
HETBRU,ACATOR
HETBRU,ALBHAR
HETBRU,ALBU
HETBRU,ALLRUB
HETBRU,ALOMAC
HETBRU,ALOSEC
HETBRU,ARI
HETBRU,BALAEG
HETBRU,CAPTOM
HETBRU,CECCIL
HETBRU,CISQUA
HETBRU,CISROT
HETBRU,COMMEAFR
HETBRU,COMMER
HETBRU,COMSCH
HETBRU,COROVA
HETBRU,CRODIC
HETBRU,CYNDAC
HETBRU,CYPH
HETBRU,DIGVEL
HETBRU,EMICOC
HETBRU,FICGLU
HETBRU,FICING
HETBRU,FICTHI
HETBRU,GREFAL
HETBRU,GRETRI
HETBRU,HELSTE
HETBRU,HETCON
HETBRU,HIB
HETBRU,HIBLUN
HETBRU,HOSOPP
HETBRU,HYPFOR
HETBRU,INDBAS
HETBRU,IPOOBS
HETBRU,JAS
HETBRU,KAL
HETBRU,KEDFOE
HETBRU,LIPUKA
HETBRU,MAETRI
HETBRU,OCI
HETBRU,PANMAX
HETBRU,PAPCAP
HETBRU,PAVASS
HETBRU,PAVPAT
HETBRU,PENMEZ
HETBRU,PENSTR
HETBRU,PHYSEP
HETBRU,PUPLAP
HETBRU,SCLBIR
HETBRU,SENDID
HETBRU,SENEHR
HETBRU,SENSUF
HETBRU,SOLDEN
HETBRU,THETRI
HETBRU,TRIEIC
HETBRU,TURFIS
HETBRU,XIMCAF
HETBRU,ZIZ
HIPAMP,BOTINS
HIPAMP,CHLGAY
HIPAMP,CYNDAC
HIPAMP,HETCON
HIPAMP,HYPFIL
HIPAMP,PANREP
HIPAMP,SPOIOC
HIPAMP,SPOPYR
HIPAMP,THETRI
