code,group
ACIJUB,1
CROCRO,1
LYCPIC,1
PANLEO,1
PANPAR,1
CANAUR,2
CANMES,2
CARCAR,2
LEPSER,2
DAMKOR,3
HIPAMP,3
KOBELL,3
OUROUR,3
PEDCAP,3
PHAAET,3
REDRED,3
RHAPUM,3
TAUORY,3
TRASCR,3
AEPMEL,4
ALCBUS,4
CONTAU,4
EQUBUR,4
GAZGRA,4
GAZTHO,4
HETBRU,5
PROCAP,5
GIRCAM,6
LOXAFR,6
MADKIR,6
PAPANU,6
SYNCAF,6
DIGSCA,7
DINRET,7
HYPRUF,7
CHLGAY,8
COMMOL,8
DIGDIA,8
DUOKIL,8
ERACIL,8
MICKUN,8
SPOFES,8
SPOFIM,8
SPOSPI,8
ACATOR,9
ANDGRE,9
ARI,9
BALAEG,9
BOTINS,9
BRASEM,9
CROMAC,9
CYNDAC,9
DIGMAC,9
ERATEN,9
EUSPAS,9
GREBIC,9
HARSCH,9
HETCON,9
HIB,9
HYPFIL,9
INDHOC,9
PANCOL,9
PANMAX,9
PENMEZ,9
SID,9
SOLINC,9
SPOIOC,9
SPOPYR,9
THETRI,9
PENSTR,10
ACASEY,11
ACAXAN,11
ANDSCH,11
CHLPYC,11
CHLROX,11
CROSPI,11
CYMEXC,11
DIGMIL,11
DIGTER,11
ECHHAP,11
ERAEXA,11
EUPCAN,11
HYPDIS,11
KIGAFR,11
LONERI,11
OLE,11
PANDEU,11
PANREP,11
PHRMAU,11
PSIJAE,11
SARVER,11
SETPAL,11
SETSPH,11
TYPCAP,11
ACASEN,12
ABU,13
ACAFRU,13
ACAROB,13
ACHASP,13
ALBHAR,13
ALBU,13
ALLRUB,13
ALOMAC,13
ALOSEC,13
BLEACA,13
CAPTOM,13
CECCIL,13
CISQUA,13
CISROT,13
COMMEAFR,13
COMMER,13
COMSCH,13
COROVA,13
CRODIC,13
CYP,13
CYPH,13
DIGVEL,13
DIHAMP,13
EMICOC,13
ERAASP,13
ERINUB,13
FICGLU,13
FICING,13
FICTHI,13
GREFAL,13
GRETRI,13
HELSTE,13
HIBLUN,13
HOSOPP,13
HYPFOR,13
IBO,13
INDBAS,13
IPOOBS,13
JAS,13
KAL,13
KEDFOE,13
KYLNER,13
LIPUKA,13
MAETRI,13
OCI,13
PAPCAP,13
PAVASS,13
PAVPAT,13
PELCAL,13
PHYSEP,13
PUPLAP,13
RHOREV,13
SCLBIR,13
SENDID,13
SENEHR,13
SENSUF,13
SOLDEN,13
SOLNIG,13
SPOPEL,13
SPOSTA,13
TRIEIC,13
TURFIS,13
XIMCAF,13
ZIZ,13
BOSAUG,14
COMMIAFR,14
