Data_set	Paper	Study	SR_analysis	Diversity_analysis	Evenness_analysis	Country	Continent	Habitat	Life_form	Latitude	Longitude	Plot_type	Plot_size_min	Plot_size_max	Year1_min	Year1_max	Year2_min	Year2_max	Duration	N_time_points	N_plots_Year1	N_plots_Year2	SR_Year1_CT	SR_Year1_STDEV	SR_Year2_CT	SR_Year2_STDEV	Delta_SR_CT	Delta_SR_STDEV	CT	log_SR_ratio	Diversity_Year1_CT	Diversity_Year2_CT	Evenness_Year1_CT	Evenness_Year2_CT	Datathief	Driver
1	1	s1	1	0	0	USA_Ohio	NorthAmerica	Savanna_Shrubland	most	41.558	-83.856	permanent	500	500	1988	1988	2002	2002	14	2	2	2	19.8014	1.4304	25.3664	3.5337	NA	NA	mean	0.247672821	NA	NA	NA	NA	yes	Unknown
2	2	s2	1	0	0	USA_Kansas	NorthAmerica	Grassland	most	38.807	-99.310	permanent	1	1	1938	1938	1972	1972	34	35	7	7	3.2812	NA	9.0505	NA	NA	NA	mean	1.014610796	NA	NA	NA	NA	yes	Post_disturbance
3	2	s2	1	0	0	USA_Kansas	NorthAmerica	Grassland	most	38.807	-99.310	permanent	1	1	1938	1938	1972	1972	34	35	5	5	2.6103	NA	8.0137	NA	NA	NA	mean	1.12168742	NA	NA	NA	NA	yes	Post_disturbance
4	2	s2	1	0	0	USA_Kansas	NorthAmerica	Grassland	most	38.807	-99.310	permanent	1	1	1938	1938	1972	1972	34	35	3	3	7.3536	NA	9.387	NA	NA	NA	mean	0.244135764	NA	NA	NA	NA	yes	Post_disturbance
5	3	s3	1	1	0	Uruguay	SouthAmerica	Grassland	most	-32.083	-54.500	semi-permanent	144	144	1935	1935	1990	1990	55	2	5	5	38.6	5	57	6.2	NA	NA	mean	0.389798991	3.24	3.67	0.67	0.69	no	Herbivory_grazing
6	4	s4	1	0	0	Spain	Europe	Wetland	most	37.680	-0.830	permanent	16	16	1991	1991	2004	2004	13	3	12	12	8.83	2.805922308	7.58	2.598076211	NA	NA	mean	-0.152641815	NA	NA	NA	NA	no	Hydrology
7	5	s5	1	0	0	USA_Oregon	NorthAmerica	Forest	most	44.214	-122.257	permanent	1000	1000	1997	1998	2005	2005	7.5	4	4	4	11.5	1.8	11.8	1.6	NA	NA	mean	0.025752496	NA	NA	0.77	0.79	yes	Unknown
8	6	s6	1	0	0	USA_Florida	NorthAmerica	Wetland	most	25.300	-80.650	permanent	5	5	1995	1997	2003	2003	7	4	60	60	10	4	11.17	3.3	NA	NA	mean	0.11064652	NA	NA	NA	NA	no	Hydrology
9	7	s7	1	0	0	Belgium	Europe	Forest	most	50.807	4.703	semi-permanent	125	225	1954	1955	2000	2000	45.5	2	20	20	24.1	5.736723804	26	4.557411546	NA	NA	mean	0.075884698	NA	NA	NA	NA	no	Canopy_closure
10	8	s8	1	0	1	Belgium	Europe	Forest	understory	50.955	3.608	semi-permanent	100	200	1977	1983	2009	2009	29	2	39	39	18.2	4.995998399	15.3	6.244997998	NA	NA	mean	-0.173568766	NA	NA	0.78	0.77	yes	Canopy_closure
11	8	s8	1	0	1	Belgium	Europe	Forest	understory	50.955	3.608	semi-permanent	100	200	1977	1983	2009	2009	29	2	39	39	18	8.118497398	14.4	6.869497798	NA	NA	mean	-0.223143551	NA	NA	0.78	0.71	yes	Canopy_closure
12	9	s9	1	0	0	uk	Europe	Forest	understory	51.827	-2.660	permanent	32	32	1979	1979	2009	2009	30	2	35	35	21.3	NA	15.5	NA	NA	NA	mean	-0.317867049	NA	NA	NA	NA	no	Herbivory_grazing
13	10	s10	1	0	0	USA_NewMexico	NorthAmerica	Desert	most	32.500	-106.800	permanent	1	1	1915	1915	2001	2001	86	65	58	58	7.4	NA	3.8	NA	NA	NA	mean	-0.666478933	NA	NA	NA	NA	yes	Invasion
14	11	s11	1	0	0	USA_Kansas	NorthAmerica	Grassland	most	39.089	-96.578	permanent	50	50	1990	1990	1998	1998	8	9	8	8	35	NA	29.8454	2.526916793	NA	NA	mean	-0.159317337	NA	NA	NA	NA	yes	Unknown
15	12	s12a	1	0	0	uk	Europe	Forest	understory	54.286	-2.790	permanent	4	4	1969	1969	1987	1987	18	2	4	4	10	NA	8	NA	NA	NA	mean	-0.223143551	NA	NA	NA	NA	no	Management
16	12	s12a	1	0	0	uk	Europe	Forest	understory	54.286	-2.790	permanent	4	4	1969	1969	1987	1987	18	2	11	11	10.6	NA	10.3	NA	NA	NA	mean	-0.028710106	NA	NA	NA	NA	no	Management
17	12	s12a	1	0	0	uk	Europe	Forest	understory	54.286	-2.790	permanent	4	4	1969	1969	1987	1987	18	2	6	6	6.8	NA	6.2	NA	NA	NA	mean	-0.09237332	NA	NA	NA	NA	no	Management
18	12	s12a	1	0	0	uk	Europe	Forest	understory	54.286	-2.790	permanent	4	4	1969	1969	1987	1987	18	2	4	4	7.5	NA	6.8	NA	NA	NA	mean	-0.097980408	NA	NA	NA	NA	no	Management
19	12	s12a	1	0	0	uk	Europe	Forest	understory	54.286	-2.790	permanent	4	4	1969	1969	1987	1987	18	2	5	5	21.2	NA	16	NA	NA	NA	mean	-0.281412459	NA	NA	NA	NA	no	Management
20	12	s12a	1	0	0	uk	Europe	Forest	understory	54.286	-2.790	permanent	4	4	1969	1969	1987	1987	18	2	9	9	11	NA	11.7	NA	NA	NA	mean	0.061693569	NA	NA	NA	NA	no	Management
21	12	s12a	1	0	0	uk	Europe	Forest	understory	54.286	-2.790	permanent	4	4	1969	1969	1987	1987	18	2	6	6	9.3	NA	11.7	NA	NA	NA	mean	0.229574442	NA	NA	NA	NA	no	Management
22	12	s12b	1	0	0	uk	Europe	Grassland	understory	54.286	-2.790	permanent	4	4	1969	1969	1987	1987	18	2	5	5	17.4	NA	15.8	NA	NA	NA	mean	-0.096460266	NA	NA	NA	NA	no	Management
23	13	s13	1	0	0	Germany	Europe	Wetland	most	53.749	7.514	permanent	4	4	2002	2002	2007	2007	5	5	16	16	8.3	NA	5.9	NA	NA	NA	mean	-0.341303164	NA	NA	NA	NA	no	Management
24	13	s13	1	0	0	Germany	Europe	Wetland	most	53.749	7.514	permanent	4	4	2002	2002	2007	2007	5	5	19	19	10.1	NA	9.4	NA	NA	NA	mean	-0.071825735	NA	NA	NA	NA	no	Management
25	13	s13	1	0	0	Germany	Europe	Wetland	most	53.749	7.514	permanent	4	4	2002	2002	2007	2007	5	5	8	8	8.6	NA	5.8	NA	NA	NA	mean	-0.393904286	NA	NA	NA	NA	no	Management
26	13	s13	1	0	0	Germany	Europe	Wetland	most	53.749	7.514	permanent	4	4	2002	2002	2007	2007	5	4	6	6	12.6	NA	12.6	NA	NA	NA	mean	0	NA	NA	NA	NA	no	Management
27	13	s13	1	0	0	Germany	Europe	Wetland	most	53.749	7.514	permanent	4	4	2002	2002	2007	2007	5	5	9	9	15.2	NA	10.9	NA	NA	NA	mean	-0.332532639	NA	NA	NA	NA	no	Management
28	13	s13	1	0	0	Germany	Europe	Wetland	most	53.749	7.514	permanent	4	4	2002	2002	2007	2007	5	5	17	17	5.2	NA	6.4	NA	NA	NA	mean	0.207639365	NA	NA	NA	NA	no	Management
29	14	s14a	1	0	0	USA_Florida	NorthAmerica	Forest	woody	24.600	-81.300	semi-permanent	15.3	15.3	1988	1990	2001	2002	12.5	2	28	28	21.1765	16.60050203	23.1373	14.52570385	NA	NA	mean	0.088553958	NA	NA	NA	NA	yes	Herbivory_grazing
30	14	s14a	1	0	0	USA_Florida	NorthAmerica	Forest	woody	24.600	-81.300	semi-permanent	30.5	30.5	1988	1990	2001	2002	12.5	2	12	12	11.9593	7.29262672	17.4982	2.280071683	NA	NA	mean	0.3805888	NA	NA	NA	NA	yes	Herbivory_grazing
31	14	s14b	1	0	0	USA_Florida	NorthAmerica	Wetland	woody	24.600	-81.300	semi-permanent	30.5	30.5	1988	1990	2001	2002	12.5	2	24	24	4.99318	4.035093443	4.70532	2.594303576	NA	NA	mean	-0.059379198	NA	NA	NA	NA	yes	Herbivory_grazing
32	15	s15	1	1	1	USA_Ohio	NorthAmerica	Wetland	most	39.933	-83.717	semi-permanent	1	1	1986	1986	2000	2000	14	3	100	100	12.49	1.58	14.57	1.41	NA	NA	mean	0.154036296	1.7	1.82	0.68	0.69	no	Unknown
33	15	s15	1	1	1	USA_Ohio	NorthAmerica	Wetland	most	39.933	-83.717	semi-permanent	1	1	1986	1986	2000	2000	14	3	100	100	12.83	2.04	12.67	1.3	NA	NA	mean	-0.012549184	1.78	1.81	0.71	0.71	no	Unknown
34	16	s16	1	0	0	France	Europe	Grassland	most	43.183	5.350	permanent	100	100	1997	1997	2008	2008	11	2	56	56	18.57	10.67	24.02	12.68	NA	NA	mean	0.257339441	NA	NA	NA	NA	no	Seabirds
35	17	s17	1	0	0	uk	Europe	Grassland	most	50.931	-0.861	semi-permanent	49	49	1952	1953	2001	2003	49.5	2	92	92	25	NA	21.4	NA	NA	NA	mean	-0.155484903	NA	NA	NA	NA	no	Unknown
36	18	s18	1	0	0	Sweden	Europe	Grassland	most	56.765	14.520	semi-permanent	20	20	1963	1966	1990	1990	25.5	2	8	8	42.4	7.7	44.3	8.8	NA	NA	mean	0.043836315	NA	NA	NA	NA	no	Pollution
37	19	s19	1	0	0	USA_Indiana	NorthAmerica	Savanna_Shrubland	most	42.667	-95.667	permanent	5	5	1986	1988	2007	2007	20	2	10	10	6.22	2.684773733	9.987	3.187575881	NA	NA	mean	0.473514341	NA	NA	NA	NA	yes	Ongoing_fire
38	19	s19	1	0	0	USA_Indiana	NorthAmerica	Savanna_Shrubland	most	42.667	-95.667	permanent	5	5	1986	1988	2007	2007	20	2	11	11	12.057	5.280066666	14.231	3.694720016	NA	NA	mean	0.16577728	NA	NA	NA	NA	yes	Ongoing_fire
39	19	s19	1	0	0	USA_Indiana	NorthAmerica	Savanna_Shrubland	most	42.667	-95.667	permanent	5	5	1986	1988	2007	2007	20	2	13	13	13.914	5.545337862	23.568	4.207678338	NA	NA	mean	0.526994332	NA	NA	NA	NA	yes	Ongoing_fire
40	19	s19	1	0	0	USA_Indiana	NorthAmerica	Savanna_Shrubland	most	42.667	-95.667	permanent	5	5	1986	1988	2007	2007	20	2	9	9	16.512	4.455	22.878	4.776	NA	NA	mean	0.326088361	NA	NA	NA	NA	yes	Ongoing_fire
41	19	s19	1	0	0	USA_Indiana	NorthAmerica	Savanna_Shrubland	most	42.667	-95.667	permanent	5	5	1986	1988	2007	2007	20	2	10	10	16.672	1.846770154	20.756	3.522777313	NA	NA	mean	0.219104696	NA	NA	NA	NA	yes	Ongoing_fire
42	20	s20	1	0	0	USA_Illinois	NorthAmerica	Grassland	most	41.758	-87.859	semi-permanent	0.25	0.25	1976	1976	2003	2003	27	3	25	25	9.35	1.7	11.55	3.4	NA	NA	mean	0.211309094	NA	NA	NA	NA	no	Ongoing_fire
43	20	s20	1	0	0	USA_Illinois	NorthAmerica	Grassland	most	41.758	-87.859	semi-permanent	0.25	0.25	1976	1976	2003	2003	27	3	25	25	12.75	2	12.95	2.85	NA	NA	mean	0.015564517	NA	NA	NA	NA	no	Ongoing_fire
44	21	s21	1	0	0	USA_Illinois	NorthAmerica	Forest	shrub	42.180	-87.911	semi-permanent	10	10	1976	1976	1997	1997	21	2	10	10	3.6604	0.4761	1.5424	0.2209	NA	NA	mean	-0.864232786	NA	NA	NA	NA	yes	Unknown
45	21	s21	1	0	0	USA_Illinois	NorthAmerica	Forest	shrub	42.180	-87.911	semi-permanent	10	10	1976	1976	1997	1997	21	2	10	10	1.4163	0.153	0.8961	0.085	NA	NA	mean	-0.457751102	NA	NA	NA	NA	yes	Unknown
46	22	s22	1	1	0	USA_Illinois	NorthAmerica	Wetland	most	42.000	-88.250	permanent	0.25	0.25	1986	1987	1992	1992	5.5	2	16	15	6.19	NA	5.2	NA	NA	NA	mean	-0.174276461	1.278	1.22	NA	NA	no	Ongoing_fire
47	22	s22	1	1	0	USA_Illinois	NorthAmerica	Wetland	most	42.000	-88.250	permanent	0.25	0.25	1986	1987	1992	1992	5.5	2	30	28	8.37	NA	6.79	NA	NA	NA	mean	-0.209202943	1.526	1.466	NA	NA	no	Ongoing_fire
48	22	s22	1	1	0	USA_Illinois	NorthAmerica	Wetland	most	42.000	-88.250	permanent	0.25	0.25	1986	1987	1992	1992	5.5	2	20	23	8.75	NA	7.48	NA	NA	NA	mean	-0.156820908	1.512	1.374	NA	NA	no	Ongoing_fire
49	22	s22	1	1	0	USA_Illinois	NorthAmerica	Wetland	most	42.000	-88.250	permanent	0.25	0.25	1986	1987	1992	1992	5.5	2	30	25	5.2	NA	5.24	NA	NA	NA	mean	0.007662873	1.441	1.511	NA	NA	no	Ongoing_fire
50	22	s22	1	1	0	USA_Illinois	NorthAmerica	Wetland	most	42.000	-88.250	permanent	0.25	0.25	1986	1987	1992	1992	5.5	2	26	22	6.81	NA	5.18	NA	NA	NA	mean	-0.273587064	1.619	1.617	NA	NA	no	Ongoing_fire
51	22	s22	1	1	0	USA_Illinois	NorthAmerica	Wetland	most	42.000	-88.250	permanent	0.25	0.25	1986	1987	1992	1992	5.5	2	19	21	5.84	NA	4.14	NA	NA	NA	mean	-0.344035009	1.342	1.078	NA	NA	no	Ongoing_fire
52	23	s23	1	0	0	USA_Illinois	NorthAmerica	Grassland	most	40.583	-89.583	semi-permanent	0.25	0.25	1976	1976	1996	1996	20	2	70	113	5.3	0.223606798	6	0.206155281	NA	NA	mean	0.124052649	NA	NA	NA	NA	yes	Ongoing_fire
53	23	s23	1	0	0	USA_Illinois	NorthAmerica	Grassland	most	40.583	-89.583	semi-permanent	0.25	0.25	1976	1976	1996	1996	20	2	90	173	4.95	0.200249844	5.4	0.206155281	NA	NA	mean	0.087011377	NA	NA	NA	NA	yes	Invasion
54	24	s24	0	1	0	USA_Colorado	NorthAmerica	Tundra	most	40.050	-105.600	permanent	1.5	1.5	1997	1997	2004	2004	7	7	5	5	NA	NA	NA	NA	NA	NA	NA	NA	1.48332	1.83394	NA	NA	yes	Pollution
55	25	s25	1	0	0	USA_Mississippi	NorthAmerica	Forest	understory	31.541	-88.828	permanent	0.25	0.25	2000	2000	2005	2005	5	3	20	20	6.2	1.788854382	2.9	0.447213595	NA	NA	mean	-0.759838555	NA	NA	NA	NA	yes	Invasion
56	25	s25	1	0	0	USA_Mississippi	NorthAmerica	Forest	understory	31.541	-88.828	permanent	0.25	0.25	2000	2000	2005	2005	5	3	20	20	4.3	0.894427191	1.8	0.447213595	NA	NA	mean	-0.870828358	NA	NA	NA	NA	yes	Invasion
57	26	s26	0	0	0	uk	Europe	Tundra	most	57.350	-4.520	semi-permanent	2	4	1963	1987	2004	2006	30	2	205	205	NA	NA	NA	NA	3.01	NA	mean	NA	NA	NA	NA	NA	no	Climate
58	26	s26	0	1	0	uk	Europe	Tundra	most	57.350	-4.520	semi-permanent	2	4	1963	1987	2004	2006	30	2	205	205	NA	NA	NA	NA	NA	NA	NA	NA	1.873	1.671	NA	NA	no	Climate
59	27	s27	1	0	0	Sweden	Europe	Forest	understory	56.000	13.710	permanent	500	500	1983	1983	1993	1993	10	2	54	54	18	NA	22.1	NA	NA	NA	mean	0.205205851	NA	NA	NA	NA	no	Ongoing_disturbance
60	27	s27	1	0	0	Sweden	Europe	Forest	understory	56.000	13.710	permanent	500	500	1983	1983	1993	1993	10	2	30	30	19.9	NA	21.4	NA	NA	NA	mean	0.07267119	NA	NA	NA	NA	no	Management
61	27	s27	1	0	0	Sweden	Europe	Forest	understory	56.820	15.180	permanent	500	500	1983	1983	1993	1993	10	2	116	116	11	NA	25.6	NA	NA	NA	mean	0.844697079	NA	NA	NA	NA	no	Management
62	28	s28	1	0	0	Sweden	Europe	Forest	understory	56.000	13.710	permanent	50	50	1979	1981	1989	1990	9.5	2	26	26	14	NA	16.3	NA	NA	NA	mean	0.152107778	NA	NA	NA	NA	no	Ongoing_disturbance
63	28	s28	1	0	0	Sweden	Europe	Forest	understory	56.000	13.710	permanent	50	50	1979	1981	1989	1990	9.5	2	23	23	16.2	NA	19.2	NA	NA	NA	mean	0.169899037	NA	NA	NA	NA	no	Ongoing_disturbance
64	28	s28	1	0	0	Sweden	Europe	Forest	understory	56.000	13.710	permanent	50	50	1979	1981	1989	1990	9.5	2	21	21	8.3	NA	8.3	NA	NA	NA	mean	0	NA	NA	NA	NA	no	Management
65	29	s29	1	0	0	Sweden	Europe	Forest	understory	56.000	13.710	permanent	500	500	1983	1983	1993	1993	10	2	24	24	26.4	NA	26.1	NA	NA	NA	mean	-0.011428696	NA	NA	NA	NA	no	Management
66	30	s30	1	0	0	USA_Tennessee	NorthAmerica	Forest	woody	35.700	-83.250	permanent	4000	4000	1962	1962	1992	1992	30	2	1	1	13	NA	14	NA	NA	NA	mean	0.074107972	NA	NA	NA	NA	no	Unknown
67	31	s31	1	0	0	USA_Washington	NorthAmerica	Successional	most	46.220	-122.200	permanent	250	250	1980	1980	1999	1999	19	20	13	13	13.12	3.569495763	18.14	1.009554357	NA	NA	mean	0.323981661	NA	NA	NA	NA	yes	Post_disturbance
68	31	s31	1	0	0	USA_Washington	NorthAmerica	Successional	most	46.220	-122.200	permanent	250	250	1980	1980	1992	1992	12	13	4	4	4.24	1.74	17.12	4	NA	NA	mean	1.395684101	NA	NA	NA	NA	yes	Post_disturbance
69	31	s31	1	0	0	USA_Washington	NorthAmerica	Successional	most	46.220	-122.200	permanent	250	250	1980	1980	1999	1999	19	20	5	5	4.56	2.97397041	20.18	0.626099034	NA	NA	mean	1.487369391	NA	NA	NA	NA	yes	Post_disturbance
70	31	s31	1	0	0	USA_Washington	NorthAmerica	Successional	most	46.220	-122.200	permanent	250	250	1982	1982	2000	2000	18	19	7	7	2.37	1.402248195	19.27	1.825568405	NA	NA	mean	2.095659527	NA	NA	NA	NA	yes	Post_disturbance
71	32	s32	1	0	0	Australia	Australia	Grassland	most	-23.707	133.686	permanent	8	8	1976	1976	2003	2003	27	25	24	24	3.42	NA	4.37	NA	NA	NA	mean	0.245122458	NA	NA	NA	NA	yes	Cessation_grazing
72	33	s33	1	1	1	USA_Tennessee	NorthAmerica	Forest	tree	35.660	-83.440	semi-permanent	4000	4000	1968	1968	1983	1983	15	2	1	1	23	NA	20	NA	NA	NA	mean	-0.139761942	2.12	1.82	0.68	0.61	no	Post_disturbance
73	34	s34	1	0	0	USA_Oklahoma	NorthAmerica	Grassland	most	35.200	-97.510	permanent	0.1	0.1	1949	1949	1981	1982	32.5	6	25	25	6	NA	3.7	NA	NA	NA	mean	-0.48342665	NA	NA	NA	NA	no	Post_fire
