BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1967,Sockeye,Washington,Puget Sound,South,635.8,545.8,SockeyeWashingtonPuget SoundSouth
1968,Sockeye,Washington,Puget Sound,South,270.4,312.57,SockeyeWashingtonPuget SoundSouth
1969,Sockeye,Washington,Puget Sound,South,322.1,454.49,SockeyeWashingtonPuget SoundSouth
1970,Sockeye,Washington,Puget Sound,South,169.5,173.6,SockeyeWashingtonPuget SoundSouth
1971,Sockeye,Washington,Puget Sound,South,144.1,144.56,SockeyeWashingtonPuget SoundSouth
1972,Sockeye,Washington,Puget Sound,South,303.5,157.15,SockeyeWashingtonPuget SoundSouth
1973,Sockeye,Washington,Puget Sound,South,386.5,590.1,SockeyeWashingtonPuget SoundSouth
1974,Sockeye,Washington,Puget Sound,South,166.1,325.97,SockeyeWashingtonPuget SoundSouth
1975,Sockeye,Washington,Puget Sound,South,96.6,223.5,SockeyeWashingtonPuget SoundSouth
1976,Sockeye,Washington,Puget Sound,South,335.7,544.11,SockeyeWashingtonPuget SoundSouth
1977,Sockeye,Washington,Puget Sound,South,248.4,75.04,SockeyeWashingtonPuget SoundSouth
1978,Sockeye,Washington,Puget Sound,South,576.4,414.34,SockeyeWashingtonPuget SoundSouth
1979,Sockeye,Washington,Puget Sound,South,308.6,276.78,SockeyeWashingtonPuget SoundSouth
1980,Sockeye,Washington,Puget Sound,South,320.4,458.82,SockeyeWashingtonPuget SoundSouth
1981,Sockeye,Washington,Puget Sound,South,96.6,244.07,SockeyeWashingtonPuget SoundSouth
1982,Sockeye,Washington,Puget Sound,South,171.2,291.49,SockeyeWashingtonPuget SoundSouth
1983,Sockeye,Washington,Puget Sound,South,111.9,204.1,SockeyeWashingtonPuget SoundSouth
1984,Sockeye,Washington,Puget Sound,South,423,676.7,SockeyeWashingtonPuget SoundSouth
1985,Sockeye,Washington,Puget Sound,South,80.5,92.67,SockeyeWashingtonPuget SoundSouth
1986,Sockeye,Washington,Puget Sound,South,61.9,83.58,SockeyeWashingtonPuget SoundSouth
1987,Sockeye,Washington,Puget Sound,South,50.9,98.36,SockeyeWashingtonPuget SoundSouth
1988,Sockeye,Washington,Puget Sound,South,209.4,150.96,SockeyeWashingtonPuget SoundSouth
1989,Sockeye,Washington,Puget Sound,South,25.4,96.77,SockeyeWashingtonPuget SoundSouth
1990,Sockeye,Washington,Puget Sound,South,37.3,161.16,SockeyeWashingtonPuget SoundSouth
1991,Sockeye,Washington,Puget Sound,South,21.2,21.61,SockeyeWashingtonPuget SoundSouth
1992,Sockeye,Washington,Puget Sound,South,174.6,491.99,SockeyeWashingtonPuget SoundSouth
1993,Sockeye,Washington,Puget Sound,South,184.8,98.56,SockeyeWashingtonPuget SoundSouth
1950,Sockeye,Adams,Fraser,South,1259.38,9814.6,SockeyeAdamsFraserSouth
1951,Sockeye,Adams,Fraser,South,143.5,529.38,SockeyeAdamsFraserSouth
1952,Sockeye,Adams,Fraser,South,7.32,17.93,SockeyeAdamsFraserSouth
1953,Sockeye,Adams,Fraser,South,3.47,31,SockeyeAdamsFraserSouth
1954,Sockeye,Adams,Fraser,South,2009.23,15789.57,SockeyeAdamsFraserSouth
1955,Sockeye,Adams,Fraser,South,63.84,863.55,SockeyeAdamsFraserSouth
1956,Sockeye,Adams,Fraser,South,3.32,8.23,SockeyeAdamsFraserSouth
1957,Sockeye,Adams,Fraser,South,2.81,25.83,SockeyeAdamsFraserSouth
1958,Sockeye,Adams,Fraser,South,3287.68,2132.62,SockeyeAdamsFraserSouth
1959,Sockeye,Adams,Fraser,South,134.55,378.35,SockeyeAdamsFraserSouth
1960,Sockeye,Adams,Fraser,South,1.91,2.61,SockeyeAdamsFraserSouth
1961,Sockeye,Adams,Fraser,South,1.12,6.42,SockeyeAdamsFraserSouth
1962,Sockeye,Adams,Fraser,South,1113.09,2867.52,SockeyeAdamsFraserSouth
1963,Sockeye,Adams,Fraser,South,156.45,3112,SockeyeAdamsFraserSouth
1964,Sockeye,Adams,Fraser,South,0.6,19.48,SockeyeAdamsFraserSouth
