ASSESSID,ASSESSORID,STOCKID,RECORDER,DATERECORDED,DATELOADED,ASSESSYEAR,ASSESSSOURCE,CONTACTS,NOTES,PDFFILE,ASSESS,REFPOINTS,ASSESSMETHOD,ASSESSCOMMENTS,XLSFILENAME,MOSTRECENT
AFSC-POPERCHGA-1959-2010-Stachura,AFSC,POPERCHGA,Stachura,2011-03-29,2011-07-25,1959-2010,http://www.afsc.noaa.gov/REFM/docs/2010/GOApop.pdf,"Dana Hanselman, Dana.Hanselman@noaa.gov",2010 assessment is just update of 2009 assessment (AFSC-POPERCHGA-2009.pdf); also accessed additional data not included in the SAFE through the summary estimates of the 2009 assessments (AFSC_2009_assessments_historical_estimates.xls),AFSC-POPERCHGA-2010.pdf,1,1,AD-CAM,A notable change from the 2007 configuration is a much larger value of F40% and F35%. This increase in recommended fishing mortality from 0.06 to 0.12 is due to the change in current fishery selectivity.,../spreadsheets/STACHURA-POPERCHGA-2010-editedDR.xls,yes
NWFSC-COWCODSCAL-1900-2007-BRANCH,NWFSC,COWCODSCAL,BRANCH,2008-11-21,2011-07-26,1900-2007,http://www.pcouncil.org/groundfish/gfsafe1008/certified_cowcod_Dec_2007.pdf,"Edward Dick, Edward.Dick@noaa.gov",,NWFSC-COWCODSCAL-2007-Cowcod CA.pdf,1,1,SS2,,../spreadsheets/BRANCH-COWCODSCAL-2007-editedDR-QAQC-summarybiomass.xls,yes
SPC-YFINCWPAC-1952-2005-JENSEN,SPC,YFINCWPAC,JENSEN,2008-11-18,2011-07-25,1952-2005,received from Simon Hoyle,"Simon Hoyle (SimonH@spc.int), John Hampton (JohnH@spc.int)","data are from MULTIFAN-CL output files, not the assessment document",WCPFC-SC3-SA-SWG-WP-01.pdf,1,1,MULTIFAN-CL,Simon Hoyle says: _I would not use these results for SRR [stock-recruit analysis] because I do not trust the recruitment trends_,../spreadsheets/JENSEN-YFINCWPAC-2008-editedDR-OJ-QAQC.xls,yes
NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN,NZMFishINSHOREWG,TREVALLYTRE7,JENSEN,2009-03-09,2011-07-25,1944-2005,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,base model,CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-TREVALLYNZ7-2005-v2-editedDR.xls,yes
MARAM-SSLOBSTERSASC-1973-2008-Johnston,MARAM,SSLOBSTERSASC,Johnston,2009-02-12,2011-07-25,1973-2008,Assessment conducted personally,"Susan Johnston, susan.holloway@uct.ac.za",,Johnston-SASouthRockLobster-2008.pdf,1,0,SCA,"change in selectivity over time, area and sex disaggregated",../spreadsheets/Johnston-SASouthRockLobster-2008-editedDR.xls,yes
CSIRO-NZLINGESE-1968-2007-FULTON,CSIRO,NZLINGESE,FULTON,2008-04-30,2011-07-25,1968-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NZLINGSE.pdf,1,1,SS2,Used v2.00c of SS2,../spreadsheets/Fulton-east-ling-australia-2007_v2-editedDR-QAQC.xls,yes
SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,SWFSC,STFLOUNNPCOAST,STANTON,2009-04-07,2011-07-25,1970-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,NORTH part of PCOAST only. Separate assessment for South,2005-SAFE-WCstarryflounder.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-NorthStarryFlounder-2005-editedDR-QAQC.xls,yes
SEFSC-VSNAPSATLC-1946-2008-STANTON,SEFSC,VSNAPSATLC,STANTON,2009-06-01,2011-07-25,1946-2008,http://www.sefsc.noaa.gov/sedar/,contact details ,,2008_SEDAR_VermillionSnapper_Satl.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-VSNAPSATLC-editedDR-QAQC.xls,yes
SEFSC-GAGGM-1963-2004-JENSEN,SEFSC,GAGGM,JENSEN,2008-11-19,2011-07-25,1963-2004,http://www.sefsc.noaa.gov/sedar/download/Gag-revised-analyses-Sept-2007-1.pdf?id=DOCUMENT,,from Fogarty database,JENSEN_GAGGM_2007.pdf,1,1,Unknown,There are no established SFA benchmarks for GAG,../spreadsheets/JENSEN-GAGGM-2007-editedDR-QAQC.xls,yes
WGSSDS-SOLECS-1970-2006-JENNINGS,WGSSDS,SOLECS,JENNINGS,2008-11-23,2011-07-25,1970-2006,http://www.ices.dk,NULL,NULL,ICES-WGSSDS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-SOLCELT-1971-2007-editedDR-QAQC.xls,yes
