TAXONKEY,SPECODE,TAXONNOM_TAXONNAME,COMMONNAME,SCIENTIFICNAME
612962,12962,Allocyttus niger,Black oreo,Allocyttus niger
601574,1574,Alosa aestivalis,Blueback shad,Alosa aestivalis
601580,1580,Alosa kessleri,Caspian anadromous shad,Alosa kessleri
601583,1583,Alosa pseudoharengus,Alewife,Alosa pseudoharengus
601584,1584,Alosa sapidissima,American shad,Alosa sapidissima
602565,2565,Amblyraja radiata,Thorny skate,Amblyraja radiata
603821,3821,Ammodytes dubius,Northern sand lance,Ammodytes dubius
600037,37,Ammodytes marinus,Lesser sand-eel,Ammodytes marinus
602501,2501,Anarhichas lupus,Wolf-fish,Anarhichas lupus
603811,3811,Anarhichas minor,Spotted wolffish,Anarhichas minor
600512,512,Anoplopoma fimbria,Sablefish,Anoplopoma fimbria
690275,90275,Arctica islandica,Ocean quahog,Arctica islandica
606977,6977,Arctozenus risso,Ribbon barracudina,Arctozenus risso
602700,2700,Argentina silus,Greater argentine,Argentina silus
604043,4043,Artediellus uncinatus,Arctic hookear sculpin,Artediellus uncinatus
604157,4157,Aspidophoroides monopterygius,Alligatorfish,Aspidophoroides monopterygius
607327,7327,Balistes capriscus,Grey triggerfish,Balistes capriscus
600319,319,Boreogadus saida,Polar cod,Boreogadus saida
601589,1589,Brevoortia patronus,Gulf menhaden,Brevoortia patronus
601592,1592,Brevoortia tyrannus,Atlantic menhaden,Brevoortia tyrannus
600051,51,Brosme brosme,Tusk,Brosme brosme
600857,857,Carcharhinus acronotus,Blacknose shark,Carcharhinus acronotus
600872,872,Carcharhinus isodon,Finetooth shark,Carcharhinus isodon
600874,874,Carcharhinus limbatus,Blacktip shark,Carcharhinus limbatus
600878,878,Carcharhinus obscurus,Dusky shark,Carcharhinus obscurus
600880,880,Carcharhinus plumbeus,Sandbar shark,Carcharhinus plumbeus
614131,14131,Centroberyx gerrardi,Bight redfish,Centroberyx gerrardi
600361,361,Centropristis striata,Black seabass,Centropristis striata
600656,656,Centroscyllium fabricii,Black dogfish,Centroscyllium fabricii
690320,90320,Geryon quinquedens,Red crab,Chaceon quinquedens
600474,474,Champsocephalus gunnari,Mackerel icefish,Champsocephalus gunnari
690650,90650,Chionoecetes bairdi,Southern tanner crab,Chionoecetes bairdi
690313,90313,Chionoecetes opilio,Queen crab,Chionoecetes opilio
606426,6426,Pagrus auratus,Squirefish,Chrysophrys auratus
604209,4209,Citharichthys arctifrons,Gulf Stream flounder,Citharichthys arctifrons
600024,24,Clupea harengus,Atlantic herring,Clupea harengus
601520,1520,Clupea pallasii pallasii,Pacific herring,Clupea pallasii
600625,625,Coilia dussumieri,Goldspotted grenadier anchovy,Coilia dussumieri
600231,231,Coregonus albula,Vendace,Coregonus albula
600234,234,Coregonus clupeaformis,Lake whitefish,Coregonus clupeaformis
602670,2670,Coregonus hoyi,Bloater,Coregonus hoyi
600232,232,Coregonus lavaretus,Common whitefish,Coregonus lavaretus
609199,9199,Cottunculus microps,Polar sculpin,Cottunculus microps
600062,62,Cyclopterus lumpus,Lumpsucker,Cyclopterus lumpus
604710,4710,Dentex tumifrons,Yellowback seabream,Dentex tumifrons
602561,2561,Dipturus laevis,Barndoor skate,Dipturus laevis
600467,467,Dissostichus eleginoides,Patagonian toothfish,Dissostichus eleginoides
601874,1874,Enchelyopus cimbrius,Fourbeard rockling,Enchelyopus cimbrius
601659,1659,Engraulis anchoita,Argentine anchoita,Engraulis anchoita
600066,66,Engraulis encrasicolus,European anchovy,Engraulis encrasicolus
601664,1664,Engraulis mordax,Californian anchovy,Engraulis mordax
600004,4,Engraulis ringens,Anchoveta,Engraulis ringens
604237,4237,Eopsetta jordani,Petrale sole,Eopsetta jordani
600017,17,Epinephelus morio,Red grouper,Epinephelus morio
601208,1208,Epinephelus niveatus,Snowy grouper,Epinephelus niveatus
600258,258,Esox lucius,Northern pike,Esox lucius
602711,2711,Esox masquinongy,Muskellunge,Esox masquinongy
690265,90265,Farfantepenaeus aztecus,Northern brown shrimp,Farfantepenaeus aztecus
690268,90268,Farfantepenaeus duorarum,Northern pink shrimp,Farfantepenaeus duorarum
600308,308,Gadus macrocephalus,Pacific cod,Gadus macrocephalus
600069,69,Gadus morhua,Atlantic cod,Gadus morhua
600309,309,Gadus ogac,Greenland cod,Gadus ogac
602420,2420,Gasterosteus aculeatus aculeatus,Three-spined stickleback,Gasterosteus aculeatus aculeatus
600482,482,Genypterus blacodes,Pink cusk-eel,Genypterus blacodes
600485,485,Genypterus capensis,Kingklip,Genypterus capensis
600026,26,Glyptocephalus cynoglossus,Witch,Glyptocephalus cynoglossus
604238,4238,Glyptocephalus zachirus,Rex sole,Glyptocephalus zachirus
607041,7041,Gobionotothen gibberifrons,Humped rockcod,Gobionotothen gibberifrons
603131,3131,Gymnelus viridis,Fish doctor,Gymnelus viridis
690884,90884,Haliotis iris,Haliotis iris,Haliotis iris
600076,76,Helicolenus dactylopterus dactylopterus,Blackbelly rosefish,Helicolenus dactylopterus
604097,4097,Hemitripterus americanus,Sea raven,Hemitripterus americanus
604229,4229,Hippoglossina oblonga,American fourspot flounder,Hippoglossina oblonga
608845,8845,Hippoglossoides dubius,Flathead flounder,Hippoglossoides dubius
600519,519,Hippoglossoides elassodon,Flathead sole,Hippoglossoides elassodon
604239,4239,Hippoglossoides platessoides,American plaice,Hippoglossoides platessoides
601371,1371,Hippoglossus hippoglossus,Atlantic halibut,Hippoglossus hippoglossus
600514,514,Hippoglossus stenolepis,Pacific halibut,Hippoglossus stenolepis
690010,90010,Homarus americanus,American lobster,Homarus americanus
600334,334,Hoplostethus atlanticus,Orange roughy,Hoplostethus atlanticus
604108,4108,Icelus spatula,Spatulate sculpin,Icelus spatula
690271,90271,Illex illecebrosus,Northern shortfin squid,Illex illecebrosus
690321,90321,Jasus edwardsii,Red rock lobster,Jasus edwardsii
690069,90069,Jasus lalandii,Cape rock lobster,Jasus lalandii
600107,107,Katsuwonus pelamis,Skipjack tuna,Katsuwonus pelamis
600088,88,Lamna nasus,Porbeagle,Lamna nasus
607045,7045,Lepidonotothen squamifrons,Grey rockcod,Lepidonotothen squamifrons
624237,24237,Lepidopsetta bilineata,Rock sole,Lepidopsetta bilineata
658882,58882,Lepidopsetta polyxystra,Northern rock sole,Lepidopsetta polyxystra
600027,27,Lepidorhombus boscii,Fourspotted megrim,Lepidorhombus boscii
600028,28,Lepidorhombus whiffiagonis,Megrim,Lepidorhombus whiffiagonis
604154,4154,Leptagonus decagonus,Atlantic poacher,Leptagonus decagonus
603788,3788,Leptoclinus maculatus,Daubed shanny,Leptoclinus maculatus
602557,2557,Leucoraja erinacea,Little skate,Leucoraja erinacea
601253,1253,Leucoraja garmani,Freckled skate,Leucoraja garmani
602562,2562,Leucoraja ocellata,Winter skate,Leucoraja ocellata
600520,520,Limanda aspera,Yellowfin sole,Limanda aspera
