STOCKID,TSN,SCIENTIFICNAME,COMMONNAME,AREAID,STOCKLONG,INMYERSDB,MYERSSTOCKID
COD1,164712,Gadus morhua,Atlantic cod,multinational-NAFO-1,Atlantic cod West Greenland (NAFO 1),1,COD1
COD2J3KL,164712,Gadus morhua,Atlantic cod,Canada-DFO-2J3KL,Atlantic cod NAFO 2J3KL,1,COD2J3KL
COD2J3KLIS,164712,Gadus morhua,Atlantic cod,Canada-DFO-2J3KL,Atlantic cod NAFO 2J3KL inshore,0,NA
COD3M,164712,Gadus morhua,Atlantic cod,multinational-NAFO-3M,Atlantic cod NAFO 3M,1,COD3M
COD3NO,164712,Gadus morhua,Atlantic cod,multinational-NAFO-3NO,Atlantic cod NAFO 3NO,1,COD3NO
COD3Ps,164712,Gadus morhua,Atlantic cod,Canada-DFO-3Ps,Atlantic cod NAFO 3Ps,1,COD3Ps
COD3Pn4RS,164712,Gadus morhua,Atlantic cod,Canada-DFO-3Pn4RS,Atlantic cod NAFO 3Pn4RS,1,COD3Pn4RS
COD4T,164712,Gadus morhua,Atlantic cod,Canada-DFO-4T,Atlantic cod NAFO 4T,1,COD4T
COD4VsW,164712,Gadus morhua,Atlantic cod,Canada-DFO-4VsW,Atlantic cod NAFO 4VsW,1,COD4VsW
COD4TVn,164712,Gadus morhua,Atlantic cod,Canada-DFO-4T,Atlantic cod NAFO 4TVn,1,COD4TVn
COD4X,164712,Gadus morhua,Atlantic cod,Canada-DFO-4X,Atlantic cod NAFO 4X,1,COD4X
COD5Y,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Y,Atlantic cod NAFO 5Y,1,COD5Y
COD5Z,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Z,Atlantic cod NAFO 5Z,1,COD5Z
COD5Zjm,164712,Gadus morhua,Atlantic cod,Canada-DFO-5Zjm,Atlantic cod NAFO 5Zjm,0,NA
CODNEAR,164712,Gadus morhua,Atlantic cod,multinational-ICES-I-II,Atlantic cod Northeast Arctic,1,CODNEAR
CODBA2224,164712,Gadus morhua,Atlantic cod,multinational-ICES-22-24,Atlantic cod Baltic Areas 22 and 24,1,CODBA2224
CODBA2532,164712,Gadus morhua,Atlantic cod,multinational-ICES-25-32,Atlantic cod Baltic Areas 25-32,1,CODBA2532
CODVIa,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIa,Atlantic cod West of Scotland,1,CODVIa
CODIS,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIIa,Atlantic cod Irish Sea,1,CODIS
CODICE,164712,Gadus morhua,Atlantic cod,multinational-ICES-Va,Atlantic cod Iceland,1,CODICE
CODNS,164712,Gadus morhua,Atlantic cod,multinational-ICES-IV,Atlantic cod North Sea,1,CODNS
CODKAT,164712,Gadus morhua,Atlantic cod,multinational-ICES-IIIa,Atlantic cod Kattegat,1,CODKAT
CODVIId,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIId,Atlantic cod ICES VIId,1,CODVIId
PCODGA,164711,Gadus macrocephalus,Pacific cod,USA-NMFS-GA,Pacific cod Gulf of Alaska,1,PCODGA
