ASSESSID,TSYEAR,PT_AVAIL,SSB,R,TOTAL,F,CPUE,CATCH_LANDINGS
ADFG-HERRPWS-1980-2006-COLLIE,1980,5,48270.35,414070,52824.36,0.181,,71940
ADFG-HERRPWS-1980-2006-COLLIE,1981,5,51090.88,335200,63262.2,0.254,,127730
ADFG-HERRPWS-1980-2006-COLLIE,1982,5,47402.54,112300,54244.23,0.159,,66270
ADFG-HERRPWS-1980-2006-COLLIE,1983,5,56449.01,103740,58999.78,0.06,,23820
ADFG-HERRPWS-1980-2006-COLLIE,1984,5,64461.28,1062360,69818.6,0.118,,59420
ADFG-HERRPWS-1980-2006-COLLIE,1985,5,79124.61,99630,85627,0.11,,62410
ADFG-HERRPWS-1980-2006-COLLIE,1986,5,65601.06,74880,75240.88,0.165,,84140
ADFG-HERRPWS-1980-2006-COLLIE,1987,5,70646.42,84820,75470.75,0.114,,57610
ADFG-HERRPWS-1980-2006-COLLIE,1988,5,93508.2,1006440,101382.44,0.123,,92680
ADFG-HERRPWS-1980-2006-COLLIE,1989,5,105135.41,119970,105135.41,0.006,,4900
ADFG-HERRPWS-1980-2006-COLLIE,1990,5,84252.14,158830,93423.68,0.117,,79400
ADFG-HERRPWS-1980-2006-COLLIE,1991,5,71852.32,79530,84716.2,0.237,,143910
ADFG-HERRPWS-1980-2006-COLLIE,1992,5,80238.46,163880,96611.72,0.256,,192220
ADFG-HERRPWS-1980-2006-COLLIE,1993,5,31921.39,158360,33859.58,0.08,,22970
ADFG-HERRPWS-1980-2006-COLLIE,1994,5,16738.8,270270,16738.8,0,,0
ADFG-HERRPWS-1980-2006-COLLIE,1995,5,15675.86,122710,15675.86,0,,0
ADFG-HERRPWS-1980-2006-COLLIE,1996,5,19882.23,23810,19882.23,0.032,,4220
ADFG-HERRPWS-1980-2006-COLLIE,1997,5,24354.8,27890,28122.21,0.225,,39570
ADFG-HERRPWS-1980-2006-COLLIE,1998,5,20521.21,20310,23452.01,0.211,,34270
ADFG-HERRPWS-1980-2006-COLLIE,1999,5,16291.61,295420,16335.04,0.004,,420
ADFG-HERRPWS-1980-2006-COLLIE,2000,5,13936.21,83670,13936.21,0,,0
ADFG-HERRPWS-1980-2006-COLLIE,2001,5,10683.51,50050,10683.51,0,,0
ADFG-HERRPWS-1980-2006-COLLIE,2002,5,13007.92,55320,13007.92,0,,0
ADFG-HERRPWS-1980-2006-COLLIE,2003,5,17576.62,30310,17576.62,0,,0
ADFG-HERRPWS-1980-2006-COLLIE,2004,5,19301.84,,19301.84,0,,0
ADFG-HERRPWS-1980-2006-COLLIE,2005,5,13207.83,,13207.83,0,,0
ADFG-HERRPWS-1980-2006-COLLIE,2006,5,9499.56,,9499.56,0,,0
ADFG-HERRSITKA-1978-2007-COLLIE,1978,5,4748.72,45750,10197.29,0.052,,1580
ADFG-HERRSITKA-1978-2007-COLLIE,1979,5,21832.51,77640,55103.51,0.153,,26540
ADFG-HERRSITKA-1978-2007-COLLIE,1980,5,39599.82,475050,48608.45,0.15,,47830
ADFG-HERRSITKA-1978-2007-COLLIE,1981,5,39084.58,175440,41464.62,0.095,,26370
ADFG-HERRSITKA-1978-2007-COLLIE,1982,5,28463.71,68620,32558.12,0.152,,33590
ADFG-HERRSITKA-1978-2007-COLLIE,1983,5,36662.7,170860,65048.21,0.171,,38280
ADFG-HERRSITKA-1978-2007-COLLIE,1984,5,44341.47,976340,55100.84,0.16,,49860
ADFG-HERRSITKA-1978-2007-COLLIE,1985,5,37436.3,100400,41172.79,0.214,,53780
ADFG-HERRSITKA-1978-2007-COLLIE,1986,5,29467.48,40750,38920.55,0.193,,37850
ADFG-HERRSITKA-1978-2007-COLLIE,1987,5,43744.92,46310,88211.2,0.122,,41500
ADFG-HERRSITKA-1978-2007-COLLIE,1988,5,57578.83,927550,65249.34,0.21,,105700
ADFG-HERRSITKA-1978-2007-COLLIE,1989,5,38934.73,64280,40780.35,0.317,,132990
ADFG-HERRSITKA-1978-2007-COLLIE,1990,5,24920.73,46240,27374.12,0.148,,30570
ADFG-HERRSITKA-1978-2007-COLLIE,1991,5,33146.48,75160,69326.78,0.07,,23430
ADFG-HERRSITKA-1978-2007-COLLIE,1992,5,55066.2,296470,61437.2,0.125,,55370
ADFG-HERRSITKA-1978-2007-COLLIE,1993,5,39332.21,190100,41643.87,0.263,,97790
ADFG-HERRSITKA-1978-2007-COLLIE,1994,5,28264.2,311420,31931.53,0.169,,35270
ADFG-HERRSITKA-1978-2007-COLLIE,1995,5,32123.1,233950,52322.69,0.103,,18460
ADFG-HERRSITKA-1978-2007-COLLIE,1996,5,34864.16,85730,46077.43,0.282,,72730
ADFG-HERRSITKA-1978-2007-COLLIE,1997,5,39758.82,218400,57285.45,0,,40
ADFG-HERRSITKA-1978-2007-COLLIE,1998,5,41794.53,313230,56671.59,0.195,,50200
ADFG-HERRSITKA-1978-2007-COLLIE,1999,5,51877.03,470510,58784.56,0.202,,68240
ADFG-HERRSITKA-1978-2007-COLLIE,2000,5,54283.03,244500,66922.23,0.088,,33870
ADFG-HERRSITKA-1978-2007-COLLIE,2001,5,70414.73,156650,89747.97,0.185,,85780
ADFG-HERRSITKA-1978-2007-COLLIE,2002,5,58172.91,146020,117572.13,0.12,,66950
ADFG-HERRSITKA-1978-2007-COLLIE,2003,5,72198.84,109680,131490.2,0.067,,43490
ADFG-HERRSITKA-1978-2007-COLLIE,2004,5,87794.21,114380,131565.34,0.088,,75750
ADFG-HERRSITKA-1978-2007-COLLIE,2005,5,85901.66,,113223.25,0.105,,74200
ADFG-HERRSITKA-1978-2007-COLLIE,2006,5,84923.03,,106607.21,0.096,,66650
