Major Popn Group,Population,Year,Spawners (total),Spawners (natural origin),Spawners (hatchery origin),Broodstock take,Harvest,Harvest rate,Prop of age-3,Prop of age-4,Prop of age-5,Prop of age-6,Brood year recruits,R per natural-origin spawner,R per total spawner
Grande Ronde R,Catherine,1955,122,122,0,0,NA,NA,0.13,0.65,0.22,0,2675,21.93,21.93
Grande Ronde R,Catherine,1956,2606,2606,0,0,NA,NA,0.1,0.67,0.23,0,6512,2.5,2.5
Grande Ronde R,Catherine,1957,1754,1754,0,0,NA,NA,0.08,0.71,0.21,0,1760,1,1
Grande Ronde R,Catherine,1958,486,486,0,0,1760,0.79,0.06,0.84,0.09,0,3746,7.71,7.71
Grande Ronde R,Catherine,1959,712,712,0,0,1560,0.7,0.08,0.75,0.17,0,851,1.2,1.2
Grande Ronde R,Catherine,1960,3161,3161,0,0,4444,0.6,0.07,0.82,0.11,0,1153,0.36,0.36
Grande Ronde R,Catherine,1961,347,347,0,0,378,0.57,0.18,0.69,0.13,0,2394,6.9,6.9
Grande Ronde R,Catherine,1962,1146,1146,0,0,3134,0.74,0.06,0.78,0.17,0,3222,2.81,2.81
Grande Ronde R,Catherine,1963,313,313,0,0,528,0.67,0.17,0.5,0.33,0,2601,8.31,8.31
Grande Ronde R,Catherine,1964,208,208,0,0,1038,0.85,0.13,0.74,0.14,0,1606,7.72,7.72
Grande Ronde R,Catherine,1965,770,770,0,0,1452,0.66,0.04,0.92,0.04,0,3201,4.16,4.16
Grande Ronde R,Catherine,1966,626,626,0,0,2057,0.8,0.19,0.74,0.07,0,1749,2.79,2.79
Grande Ronde R,Catherine,1967,1625,1625,0,0,1963,0.59,0.16,0.52,0.32,0,3763,2.32,2.32
Grande Ronde R,Catherine,1968,822,822,0,0,592,0.45,0.11,0.73,0.16,0,2607,3.17,3.17
Grande Ronde R,Catherine,1969,1882,1882,0,0,1153,0.39,0.03,0.97,0,0,4094,2.18,2.18
Grande Ronde R,Catherine,1970,992,992,0,0,711,0.44,0.08,0.85,0.06,0,1202,1.21,1.21
Grande Ronde R,Catherine,1971,2319,2319,0,0,1190,0.35,0.05,0.89,0.06,0,345,0.15,0.15
Grande Ronde R,Catherine,1972,1106,1106,0,0,1086,0.5,0.03,0.75,0.23,0,955,0.86,0.86
Grande Ronde R,Catherine,1973,1855,1855,0,0,2783,0.61,0.02,0.81,0.17,0,1184,0.64,0.64
Grande Ronde R,Catherine,1974,753,753,0,0,429,0.37,0.02,0.75,0.23,0,296,0.39,0.39
Grande Ronde R,Catherine,1975,399,399,0,0,0,0,0.1,0.34,0.56,0,693,1.74,1.74
Grande Ronde R,Catherine,1976,1028,1028,0,0,4,0.01,0.05,0.77,0.18,0,835,0.81,0.81
Grande Ronde R,Catherine,1977,104,104,0,0,362,0.78,0.04,0.69,0.26,0,455,4.38,4.38
Grande Ronde R,Catherine,1978,878,878,0,0,55,0.06,0,0.13,0.87,0,1280,1.46,1.46
Grande Ronde R,Catherine,1979,579,579,0,0,24,0.04,0.04,0.69,0.26,0,259,0.45,0.45
Grande Ronde R,Catherine,1980,1034,1034,0,0,32,0.03,0.04,0.69,0.26,0,384,0.37,0.37
Grande Ronde R,Catherine,1981,275,275,0,0,18,0.07,0.04,0.69,0.26,0,415,1.51,1.51
Grande Ronde R,Catherine,1982,745,745,0,0,66,0.09,0.04,0.69,0.26,0,246,0.33,0.33
Grande Ronde R,Catherine,1983,733,733,0,0,73,0.09,0,0.12,0.88,0,238,0.32,0.32
Grande Ronde R,Catherine,1984,378,378,0,0,42,0.1,0,0.69,0.31,0,137,0.36,0.36
Grande Ronde R,Catherine,1985,386,386,0,0,27,0.07,0.04,0.73,0.23,0,59,0.15,0.15
Grande Ronde R,Catherine,1986,399,320,79,0,26,0.08,0.03,0.64,0.33,0,4,0.01,0.01
Grande Ronde R,Catherine,1987,685,152,533,0,13,0.08,0.02,0.94,0.05,0,10,0.01,0.07
Grande Ronde R,Catherine,1988,690,163,527,0,24,0.14,0.02,0.59,0.39,0,134,0.19,0.82
Grande Ronde R,Catherine,1989,191,72,119,0,7,0.1,0,0.7,0.3,0,17,0.09,0.24
Grande Ronde R,Catherine,1990,145,0,145,0,0,0.12,0.04,0.71,0.26,0,13,0.09,NA
Grande Ronde R,Catherine,1991,64,9,55,0,0,0.1,0.12,0.41,0.47,0,35,0.55,3.89
Grande Ronde R,Catherine,1992,162,40,122,0,3,0.08,0,0.84,0.16,0,51,0.31,1.28
Grande Ronde R,Catherine,1993,268,107,161,0,7,0.07,0.07,0.07,0.85,0,167,0.62,1.56
Grande Ronde R,Catherine,1994,28,14,14,0,1,0.1,0,0.39,0.61,0,27,0.96,1.93
Grande Ronde R,Catherine,1995,38,38,0,0,1,0.05,0.11,0.89,0,0,51,1.34,1.34
Grande Ronde R,Catherine,1996,35,35,0,0,1,0.05,0.03,0.95,0.02,0,87,2.49,2.49
Grande Ronde R,Catherine,1997,103,103,0,0,7,0.07,0.06,0.82,0.12,0,475,4.61,4.61
Grande Ronde R,Catherine,1998,91,91,0,0,5,0.06,0,0.21,0.79,0,436,4.79,4.79
Grande Ronde R,Catherine,1999,43,43,0,0,1,0.04,0,0.98,0.02,0,86,2,2
Grande Ronde R,Catherine,2000,58,58,0,2,3,0.06,0.1,0.77,0.13,0,57,0.98,0.98
Grande Ronde R,Catherine,2001,512,396,116,25,64,0.15,0.09,0.83,0.08,0,41,0.08,0.1
Grande Ronde R,Catherine,2002,430,216,214,39,34,0.13,0.05,0.72,0.23,0,144,0.33,0.67
Grande Ronde R,Catherine,2003,424,175,249,53,22,0.09,0,0.25,0.74,0,NA,NA,NA
Grande Ronde R,Catherine,2004,215,37,178,19,6,0.11,0.05,0.78,0.16,0,NA,NA,NA
Grande Ronde R,Catherine,2005,143,37,106,9,3,0.08,0.08,0.75,0.18,0,NA,NA,NA
Grande Ronde R,Catherine,2006,251,93,158,21,8,0.08,0.09,0.9,0.01,0,NA,NA,NA
Grande Ronde R,Catherine,2007,171,49,122,31,6,0.09,0.1,0.54,0.36,0,NA,NA,NA
Grande Ronde R,Catherine,2008,216,76,140,18,16,0.16,0.06,0.84,0.09,0,NA,NA,NA
Grande Ronde R,Catherine,2009,275,127,148,35,NA,NA,0.29,0.56,0.15,0,NA,NA,NA
Grande Ronde R,Grand Ronde (Upper Main),1959,178,178,0,0,464,0.74,0.08,0.75,0.17,0,676,3.8,3.8
Grande Ronde R,Grand Ronde (Upper Main),1960,346,346,0,0,414,0.58,0.13,0.76,0.11,0,1170,3.38,3.38
Grande Ronde R,Grand Ronde (Upper Main),1961,578,578,0,0,476,0.49,0.14,0.73,0.14,0,1800,3.11,3.11
Grande Ronde R,Grand Ronde (Upper Main),1962,972,972,0,0,1619,0.66,0.13,0.72,0.15,0,1780,1.83,1.83
Grande Ronde R,Grand Ronde (Upper Main),1963,115,115,0,0,283,0.73,0.09,0.55,0.36,0,1167,10.15,10.15
Grande Ronde R,Grand Ronde (Upper Main),1964,550,550,0,0,790,0.62,0.12,0.79,0.09,0,1294,2.35,2.35
Grande Ronde R,Grand Ronde (Upper Main),1965,620,620,0,0,1292,0.71,0.15,0.81,0.04,0,1783,2.88,2.88
Grande Ronde R,Grand Ronde (Upper Main),1966,508,508,0,0,625,0.57,0.08,0.84,0.08,0,990,1.95,1.95
Grande Ronde R,Grand Ronde (Upper Main),1967,768,768,0,0,926,0.59,0.16,0.52,0.32,0,1304,1.7,1.7
Grande Ronde R,Grand Ronde (Upper Main),1968,1014,1014,0,0,615,0.47,0.33,0.55,0.12,0,880,0.87,0.87
Grande Ronde R,Grand Ronde (Upper Main),1969,1028,1028,0,0,572,0.4,0.17,0.75,0.08,0,610,0.59,0.59
Grande Ronde R,Grand Ronde (Upper Main),1970,418,418,0,0,352,0.48,0.08,0.86,0.06,0,469,1.12,1.12
Grande Ronde R,Grand Ronde (Upper Main),1971,644,644,0,0,295,0.35,0.13,0.81,0.06,0,163,0.25,0.25
Grande Ronde R,Grand Ronde (Upper Main),1972,611,611,0,0,594,0.51,0.05,0.55,0.4,0,481,0.79,0.79
Grande Ronde R,Grand Ronde (Upper Main),1973,252,252,0,0,312,0.56,0.03,0.8,0.17,0,810,3.21,3.21
Grande Ronde R,Grand Ronde (Upper Main),1974,277,277,0,0,154,0.37,0.05,0.73,0.23,0,98,0.35,0.35
Grande Ronde R,Grand Ronde (Upper Main),1975,219,219,0,0,0,0,0,0.38,0.63,0,60,0.27,0.27
Grande Ronde R,Grand Ronde (Upper Main),1976,324,324,0,0,1,0.01,0.05,0.77,0.18,0,176,0.54,0.54
Grande Ronde R,Grand Ronde (Upper Main),1977,592,592,0,0,296,0.35,0.07,0.67,0.26,0,216,0.36,0.36
Grande Ronde R,Grand Ronde (Upper Main),1978,216,216,0,0,13,0.06,0,0.13,0.87,0,316,1.46,1.46
Grande Ronde R,Grand Ronde (Upper Main),1979,24,24,0,0,1,0.04,0.07,0.67,0.26,0,88,3.67,3.67
Grande Ronde R,Grand Ronde (Upper Main),1980,164,164,0,0,5,0.03,0.07,0.67,0.26,0,199,1.21,1.21
Grande Ronde R,Grand Ronde (Upper Main),1981,224,224,0,0,14,0.07,0.07,0.67,0.26,0,338,1.51,1.51
Grande Ronde R,Grand Ronde (Upper Main),1982,160,160,0,0,13,0.09,0.07,0.67,0.26,0,142,0.89,0.89
Grande Ronde R,Grand Ronde (Upper Main),1983,190,190,0,0,19,0.09,0,0.12,0.88,0,162,0.85,0.85
Grande Ronde R,Grand Ronde (Upper Main),1984,150,150,0,0,16,0.1,0,0.69,0.31,0,21,0.14,0.14
Grande Ronde R,Grand Ronde (Upper Main),1985,344,344,0,0,24,0.07,0.04,0.73,0.23,0,16,0.05,0.05
Grande Ronde R,Grand Ronde (Upper Main),1986,214,184,30,0,15,0.08,0.02,0.63,0.35,0,59,0.28,0.32
Grande Ronde R,Grand Ronde (Upper Main),1987,707,125,582,0,10,0.08,0,0.98,0.02,0,22,0.03,0.18
Grande Ronde R,Grand Ronde (Upper Main),1988,553,43,510,0,6,0.14,0.04,0.43,0.53,0,155,0.28,3.6
Grande Ronde R,Grand Ronde (Upper Main),1989,3,0,3,0,0,0.1,0.04,0.72,0.24,0,8,2.67,NA
Grande Ronde R,Grand Ronde (Upper Main),1990,105,53,52,0,7,0.12,0,0.75,0.25,0,1,0.01,0.02
Grande Ronde R,Grand Ronde (Upper Main),1991,44,27,17,0,2,0.1,0.03,0.49,0.49,0,21,0.48,0.78
Grande Ronde R,Grand Ronde (Upper Main),1992,393,81,312,0,6,0.08,0,0.91,0.09,0,80,0.2,0.99
Grande Ronde R,Grand Ronde (Upper Main),1993,332,76,256,0,5,0.07,0,0.07,0.93,0,120,0.36,1.58
Grande Ronde R,Grand Ronde (Upper Main),1994,12,4,8,0,0,0.1,0,0.39,0.61,0,26,2.17,6.5
Grande Ronde R,Grand Ronde (Upper Main),1995,22,22,0,0,1,0.05,0.11,0.89,0,0,2,0.09,0.09
Grande Ronde R,Grand Ronde (Upper Main),1996,70,70,0,0,3,0.05,0.03,0.95,0.02,0,46,0.66,0.66
