CloneID,Site description,Country,DaphniaPresent,comment,AvgHigh_warmestMonth,AvgHigh_warmestMonthWhenPresent,AvgHighMeanWhenPresent,Ref,"Drying at irregular moments during season? (y, n)",rockpool,"Latitude, N","Longitude, E/W","Elevation, m",Who sampled,Mean(logTimm) 20,Mean(logTimm) 28,Std Err(logTimm) 20,Std Err(logTimm) 28,"Mean(dA576normTProt, 20)","Mean(dA576normTProt, 28)"
BE-OM-2,"Heverlee, Oude Meren, Abdij van Park",Belgium,all year,all year inhabitable,23,23,14.75,http://www.worldweatheronline.com/Heverlee-Park-weather-averages/BE.aspx,n,0,50°51'47.82'',04°43'16.92'',26,Ellen Decae.,3.88282359,4.863258618,0.0684440725,0.0747142416,0.0123422285,0.0466951674
BY-G1-9,"Pond near Gomel, South-East Belarus",Belarus,May to Sept.,summer pond,25,25,22,http://www.worldweatheronline.com/Gomel-weather-averages/Homyelskaya-Voblasts/BY.aspx,n,0,52°25.078,31°00.431,140,"Vasil Vezhnavets, Andrei Papkou",3.8031199743,4.6216936975,0.0595052159,0.0783495881,0.018974869,0.0287256151
CH-H-149,Swiss population near Frauenfeld,Switzerland,March to Oct,all year inhabitable,25,25,18.625,http://www.worldweatheronline.com/Frauenfeld-weather-averages/CH.aspx,n,0,"47° 33' 28.65""","8° 51' 42.81""",439,Dieter Ebert,4.2385656959,4.6955880987,0.0803641392,0.0564053252,0.0074006449,0.0380886352
DE-Iinb-1,"Ismaninger Teiche, K-3-35",Germany,March to Oct.,summer pond,24,24,18.125,http://www.worldweatheronline.com/Ismaning-weather-averages/Bayern/DE.aspx,n,0,"48°12'23.93""","11°42'34.98""",497,Dieter Ebert,4.0699573388,4.6341078917,0.0598487146,0.0678265052,0.0304999779,0.0264304257
DE-K35-Mu11,"Ismaninger Teiche, K-3-35",Germany,March to Oct.,summer pond,24,24,18.125,http://www.worldweatheronline.com/Ismaning-weather-averages/Bayern/DE.aspx,n,0,"48°12'23.93""","11°42'34.98""",497,Dieter Ebert,3.911013374,4.6153755559,0.0455344626,0.060886177,0.0185089247,0.0460953749
FI-FAT-1-6,"Aland Island, Trebaren",Finland,May to Sept.,summer rock pool,21,21,16.8,http://www.worldweatheronline.com/Grano-weather-averages/Western-Finland/FI.aspx,y,1,60.02,19.90212386,4,Th. Zumbrunn,3.7778394259,4.3473501906,0.0676564594,0.0728953297,0.0121349672,0.0228769327
FI-FHS2-11-8,"South-East Finland, Haapasaari",Finland,May to Sept.,summer rock pool,21,21,17,http://www.worldweatheronline.com/Haapasaari-weather-averages/Southern-Finland/FI.aspx,y,1,60° 16.427,27° 13.125,3,Dieter Ebert,3.7823273241,4.2994333534,0.0633325035,0.0590439294,0.0158085209,0.0236160046
FI-FSP1-16-2,South finland; Suur-Pellinki,Finland,May to Sept.,summer rock pool,23,23,19,http://www.worldweatheronline.com/Pellinki-weather-averages/Southern-Finland/FI.aspx,y,1,60° 10.062,25° 47.677,4,Dieter Ebert,3.8244564872,4.4169140959,0.062004834,0.0777657428,0.0020727551,0.0263208557
FI-FUT1-2-1,"near Russian border, Ulko-Tammio",Finland,May to Sept.,summer rock pool,21,21,17,http://www.worldweatheronline.com/Klamila-weather-averages/Southern-Finland/FI.aspx,y,1,60° 20.814,27° 28.729,19,Dieter Ebert,3.8672924258,4.4171358353,0.0575598745,0.0650290567,0.012778573,0.0342038667
FI-N-47-20,Tvärminne,Finland,May to Sept.,summer rock pool,20,20,16.4,http://www.worldweatheronline.com/Tvarminne-weather-averages/Southern-Finland/FI.aspx,y,1,59º49'30'N,23º14',0,Dieter Ebert,3.8654402241,4.5335836702,0.0481770676,0.0628943689,0.0100500844,0.0390082852
