Experiment,Treatment,Run,Clone,AccT,Eggstage_raw,Ovaries,#eggs,"length,mm",Timm,logTimm
Main,Standard,1,BE-OM-2,20,1,N,7,2.7,56,4.0253516907
Main,Standard,1,BE-OM-2,28,1,N,2,2.5,74,4.3040650932
Main,Standard,2,BE-OM-2,20,1,N,8,2.6,45,3.8066624898
Main,Standard,2,BE-OM-2,28,2,Y,5,2.75,101,4.6151205168
Main,Standard,3,BE-OM-2,20,1,N,8,2.55,45,3.8066624898
Main,Standard,3,BE-OM-2,28,1,Y,2,2.55,135,4.9052747784
Main,Standard,4,BE-OM-2,20,2,Y,4,2.55,34,3.5263605246
Main,Standard,4,BE-OM-2,28,3,Y,9,2.9,108,4.6821312271
Main,Standard,5,BE-OM-2,20,1,N,4,2.7,44,3.7841896339
Main,Standard,5,BE-OM-2,28,4,Y,4,2.5,123,4.8121843554
Main,Standard,6,BE-OM-2,20,2,N,6,2.5,57,4.0430512678
Main,Standard,6,BE-OM-2,28,0,Y,0,2.2,158,5.062595033
Main,Standard,8,BE-OM-2,20,2,Y,4,2.85,65,4.1743872699
Main,Standard,8,BE-OM-2,28,1,N,4,2.55,155,5.0434251169
Main,Standard,9,BE-OM-2,20,2,N,2,2.8,45,3.8066624898
Main,Standard,9,BE-OM-2,28,1,N,8,2.9,140,4.9416424226
Main,Standard,10,BE-OM-2,20,1,N,8,2.75,47,3.8501476017
Main,Standard,10,BE-OM-2,28,3,Y,4,2.65,140,4.9416424226
Main,Standard,11,BE-OM-2,20,4,Y,6,2.7,37,3.6109179126
Main,Standard,11,BE-OM-2,28,4,Y,4,2.9,151,5.0172798368
Main,Standard,12,BE-OM-2,20,1,N,12,2.95,72,4.276666119
Main,Standard,12,BE-OM-2,28,3,Y,6,2.65,176,5.170483995
Main,Standard,1,CH-H-149,20,0,Y,0,2.75,54,3.9889840466
Main,Standard,1,CH-H-149,28,4,N,6,2.7,88,4.4773368145
Main,Standard,2,CH-H-149,20,5,Y,10,2.7,40,3.6888794541
Main,Standard,2,CH-H-149,28,5,Y,24,3.25,91,4.5108595065
Main,Standard,3,CH-H-149,20,5,N,8,2.75,62,4.127134385
Main,Standard,3,CH-H-149,28,5,Y,12,2.9,107,4.6728288345
Main,Standard,4,CH-H-149,20,1,N,2,2.85,55,4.0073331852
Main,Standard,4,CH-H-149,28,1,N,4,2.85,107,4.6728288345
Main,Standard,5,CH-H-149,20,5,Y,3,2.6,83,4.4188406078
Main,Standard,5,CH-H-149,28,3,Y,6,2.75,92,4.521788577
Main,Standard,6,CH-H-149,20,1,Y,1,3,96,4.5643481915
Main,Standard,6,CH-H-149,28,0,N,0,3,140,4.9416424226
Main,Standard,8,CH-H-149,20,1,Y,2,2.9,69,4.2341065046
Main,Standard,8,CH-H-149,28,5,Y,5,3.1,110,4.7004803658
Main,Standard,9,CH-H-149,20,0,N,0,2.95,80,4.3820266347
Main,Standard,9,CH-H-149,28,0,Y,0,3.1,94,4.5432947823
Main,Standard,10,CH-H-149,20,0,Y,0,2.95,75,4.3174881135
Main,Standard,10,CH-H-149,28,1,N,3,3.15,153,5.0304379214
Main,Standard,11,CH-H-149,20,1,N,4,3,76,4.3307333403
Main,Standard,11,CH-H-149,28,5,Y,3,3.05,108,4.6821312271
Main,Standard,12,CH-H-149,20,0,Y,0,3.2,96,4.5643481915
Main,Standard,12,CH-H-149,28,1,Y,8,3.2,134,4.8978398
Main,Standard,1,EL-75-69,20,1,N,8,2.9,40,3.6888794541
Main,Standard,1,EL-75-69,28,5,Y,3,3,59,4.0775374439
